A	TRACTO ALIMENTARIO Y METABOLISMO
A12CD01	FLUORURO SÓDICO
A12CD02	MONOFLUOROFOSFATO SÓDICO
A12CD51	FLUORUROS, COMBINACIONES
A12CE	SELENIO
A12CE01	SELENATO SÓDICO
A12CE02	SELENITO SÓDICO
A12CX	PRODUCTOS CON OTROS MINERALES
A13	TÓNICOS
A13A	TÓNICOS
A14	AGENTES ANABÓLICOS PARA USO SISTÉMICO
A14A	ESTEROIDES ANABÓLICOS
A14AA	DERIVADOS DEL ANDROSTANO
A14AA01	ANDROSTANOLONA
A14AA02	ESTANOZOLOL
A14AA03	METANDIENONA
A14AA04	METENOLONA
A14AA05	OXIMETOLONA
A14AA06	QUIMBOLONA
A14AA07	PRASTERONA
A14AA08	OXANDROLONA
A14AA09	NORETANDROLONA
A14AB	DERIVADOS DEL ESTRENO
A14AB01	NANDROLONA
A14AB02	ETILESTRENOL
A14AB03	OXABOLONA, CIPIONATO
A14B	OTROS AGENTES ANABÓLICOS
A15	ESTIMULANTES DEL APETITO
A16	OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO
A16A	OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO
A16AA	AMINOÁCIDOS Y DERIVADOS
A16AA01	LEVOCARNITINA
A16AA02	ADEMETIONINA
A16AA03	GLUTAMINA
A16AA04	MERCAPTAMINA
A16AA05	CARGLÚMICO ÁCIDO
A16AA06	BETAÍNA
A16AB	ENZIMAS
A16AB01	ALGLUCERASA
A16AB02	IMIGLUCERASA
A16AB03	AGALSIDASA ALFA
A16AB04	AGALSIDASA BETA
A16AB05	LARONIDASA
A16AB06	SACROSIDASA
A16AB07	ALGLUCOSIDASA ALFA
A16AB08	GALSULFASA
A16AB09	IDURSULFASA
A16AX	PRODUCTOS VARIOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO
A16AX01	TIÓCTICO, ÁCIDO
A16AX02	ANETOL TRITIONA
A16AX03	FENILBUTIRATO DE SODIO
A16AX04	NITISINONA
A16AX05	ZINC ACETATO
A16AX06	MIGLUSTAT
A16AX07	SAPROPTERINA
B	SANGRE Y ÓRGANOS HEMATOPOYÉTICOS
B01	AGENTES ANTITROMBÓTICOS
B01A	AGENTES ANTITROMBÓTICOS
B01AA	ANTAGONISTAS DE VITAMINA K
B01AA01	DICUMAROL
B01AA02	FENINDIONA
B01AA03	WARFARINA
B01AA04	FENPROCUMON
B01AA07	ACENOCUMAROL
B01AA08	ETIL BISCUMACETATO
B01AA09	CLORINDIONA
B01AA10	DIFENADIONA
B01AA11	TIOCLOMAROL
B01AB	GRUPO DE LA HEPARINA
B01AB01	HEPARINA
B01AB02	ANTITROMBINA III
B01AB04	DALTEPARINA
B01AB05	ENOXAPARINA
B01AB06	NADROPARINA
B01AB07	PARNAPARINA
B01AB08	REVIPARINA
B01AB09	DANAPAROIDA
B01AB10	TINZAPARINA
B01AB11	SULODEXIDO
B01AB12	BEMIPARINA
B01AB51	HEPARINA, COMBINACIONES
B01AC	INHIBIDORES DE LA AGREGACIÓN PLAQUETARIA EXCL
B01AC01	DITAZOL
B01AC02	CLORICROMEN
B01AC03	PICOTAMIDA
B01AC04	CLOPIDOGREL
B01AC05	TICLOPIDINA
B01AC06	ÁCIDO ACETILSALICÍLICO
B01AC07	DIPIRIDAMOL
B01AC08	CARBASALATO CÁLCICO
B01AC09	EPOPROSTENOL
B01AC10	INDOBUFEN
B01AC11	ILOPROST
B01AC13	ABCIXIMAB
B01AC15	ALOXIPRIN
B01AC16	EPTIFIBATIDA
B01AC17	TIROFIBAN
B01AC18	TRIFLUSAL
B01AC19	BERAPROST
B01AC21	TREPROSTINIL
B01AC22	PRASUGREL
B01AC30	COMBINACIONES
B01AD	ENZIMAS
B01AD01	ESTREPTOQUINASA
B01AD02	ALTEPLASA
B01AD03	ANISTREPLASA
B01AD04	UROQUINASA
B01AD05	FIBRINOLISINA
B01AD06	BRINASA
B01AD07	RETEPLASA
B01AD08	SARUPLASA
B01AD09	ANCROD
B01AD10	ALFA DROTRECOGIN (ACTIVADA)
B01AD11	TENECTEPLASA
B01AD12	PROTEÍNA C
B01AE	INHIBIDORES DIRECTOS DE TROMBINA
B01AE01	DESIRUDINA
B01AE02	LEPIRUDINA
B01AE03	ARGATROBAN
B01AE04	MELAGATRAN
B01AE05	XIMELAGATRAN
B01AE06	BIVALIRUDINA
B01AE07	DABIGATRAN ETEXILATO
B01AX	OTROS AGENTES ANTITROMBÓTICOS
B01AX01	DEFIBRÓTIDO
B01AX04	DERMATAN SULFATO
B01AX05	FONDAPARINUX
B01AX06	RIVAROXABAN
B02	ANTIHEMORRÁGICOS
B02A	ANTIFIBRINOLÍTICOS
B02AA	AMINOÁCIDOS
B02AA01	AMINOCAPROICO ÁCIDO
B02AA02	TRANEXÁMICO ÁCIDO
B02AA03	ÁCIDO AMINOMETILBENZOICO
B02AB	INHIBIDORES DE PROTEINASA
B02AB01	APROTININA
B02AB02	ALFA 1 ANTITRIPSINA
B02AB03	INHIBIDOR DE C1
B02AB04	CAMOSTAT
B02B	VITAMINA K Y OTROS HEMOSTÁTICOS
B02BA	VITAMINA K
B02BA01	FITOMENADIONA
B02BB	FIBRINÓGENO
B02BB01	FIBRINÓGENO HUMANO
B02BC	HEMOSTÁTICOS LOCALES
B02BC01	ESPONJA DE GELATINA ABSORBIBLE
B02BC02	CELULOSA OXIDADA
B02BC03	HIDROXIMETILESTER DEL ÁCIDO TETRAGALACTURONICO
B02BC05	ADRENALONA
B02BC06	TROMBINA
B02BC07	COLÁGENO
B02BC08	ALGINATO DE CALCIO
B02BC09	EPINEFRINA
B02BC10	FIBRINÓGENO HUMANO
B02BC30	COMBINACIONES
B02BD	FACTORES DE COAGULACIÓN SANGUÍNEA
B02BD01	FACTORES DE LA COAGULACIÓN IX
B02BD02	FACTOR DE COAGULACIÓN VIII
B02BD03	ACTIVIDAD DE CORRECCIÓN DEL INHIBIDOR DEL FACTOR VIII
B02BD04	FACTOR DE COAGULACIÓN IX
B02BD05	FACTOR VII DE COAGULACIÓN
B02BD06	FACTOR VON WILLEBRAND Y FACTOR DE COAGULACIÓN VIII EN ASOCIACIÓN
B02BD07	FACTOR XIII DE COAGULACIÓN
B02BD08	EPTACOG ALFA
B02BD09	NONACOG ALFA
B02BD30	TROMBINA
B02BX	OTROS HEMOSTÁTICOS SISTÉMICOS
B02BX01	ETAMSILATO
B02BX02	CARBAZOCROMO
B02BX03	BATROXOBINA
B02BX04	ROMIPLOSTIM
B03	PREPARADOS ANTIANÉMICOS
B03A	PREPARADOS CON HIERRO
B03AA	HIERRO BIVALENTE
B03AA01	GLICINA SULFATO FERROSO
B03AA02	FUMARATO FERROSO
B03AA03	GLUCONATO FERROSO
B03AA04	CARBONATO FERROSO
B03AA05	CLORHIDRATO FERROSO
B03AA06	SUCCINATO FERROSO
B03AA07	SULFATO FERROSO
B03AA08	TARTRATO FERROSO
B03AA09	ASPARTATO FERROSO
B03AA10	ASCORBATO FERROSO
B03AA11	IODATO FERROSO
B03AB	HIERRO TRIVALENTE
B03AB01	CITRATO SÓDICO-FÉRRICO
B03AB02	ÓXIDO SACARATO DE HIERRO
B03AB03	FERRIDETATO SÓDICO
B03AB04	HIDRÓXIDO FÉRRICO
B03AB05	DEXTRIFERRÓN
B03AB06	CITRATO FÉRRICO
B03AB07	COMPLEJO FERRO-CONDROITÍN SULFATO
B03AB08	ACETILTRANSFERRINA FÉRRICA
B03AB09	PROTEINSUCCINILATO FÉRRICO
B03AC	HIERRO TRIVALENTE
B03AC01	DEXTRIFERRÓN
B03AC02	COMPLEJO HIDRÓXIDO FÉRRICO
B03AC03	COMPLEJO HIERRO-SORBITOL-ÁCIDO CÍTRICO
B03AC05	COMPLEJO ÁCIDO GLUCÓNICO-SORBITOL FÉRRICO
B03AC06	COMPLEJO FÉRRICO ÓXIDO
B03AC07	COMPLEJO GLUCONATO SÓDICO-FÉRRICO
B03AD	HIERRO EN ASOCIACIÓN CON FÓLICO ÁCIDO
B03AD01	COMPLEJO FERROSO DE AMINOÁCIDOS
B03AD02	FUMARATO FERROSO
B03AD03	SULFATO FERROSO
B03AD04	DEXTRIFERRON
B03AE	HIERRO EN OTRAS ASOCIACIONES
B03AE01	HIERRO, VITAMINA B12 Y ÁCIDO FÓLICO
B03AE02	HIERRO, MULTIVITAMINAS Y ÁCIDO FÓLICO
B03AE03	HIERRO Y MULTIVITAMINAS
B03AE04	HIERRO, MULTIVITAMINAS Y MINERALES
B03AE10	COMBINACIONES VARIAS
B03B	VITAMINA B12 Y FÓLICO ÁCIDO
B03BA	VITAMINA B12
B03BA01	CIANOCOBALAMINA
B03BA02	COMPLEJO TANINO-CIANOCOBALAMINA
B03BA03	HIDROXOCOBALAMINA
B03BA04	COBAMAMIDA
B03BA51	CIANOCOBALAMINA
B03BA53	HIDROXICOBALAMINA, COMBINACIONES
B03BB	FÓLICO ÁCIDO Y DERIVADOS
B03BB01	FÓLICO ÁCIDO
B03BB51	FÓLICO ÁCIDO
B03X	OTROS PREPARADOS ANTIANÉMICOS
B03XA	OTROS PREPARADOS ANTIANÉMICOS
B03XA01	ERITROPOYETINA
B03XA02	DARBEPOETINA ALFA
B03XA03	METOXI
B05	SUSTITUTOS DE SANGRE Y SOLUCIONES PARA PERFUSIÓN
B05A	SANGRE Y SUSTANCIAS RELACIONADAS
B05AA	SUSTITUTOS DE SANGRE Y FRACCIONES PROTEICAS PLASMÁTICAS
B05AA01	ALBÚMINA
B05AA02	FRACCIONES DE OTRAS PROTEÍNAS PLASMÁTICAS
B05AA03	SUSTITUTOS FLUOROCARBONADOS DE LA SANGRE
B05AA05	DEXTRÁN
B05AA06	AGENTES CON GELATINA
B05AA07	HIDROXIETIL ALMIDÓN
B05AA08	HEMOGLOBINA CROSFUMARIL
B05AA09	HEMOGLOBINA RAFFIMER
B05B	SOLUCIONES IV
B05BA	SOLUCIONES PARA NUTRICIÓN PARENTERAL
B05BA01	AMINOÁCIDOS
B05BA02	EMULSIONES GRASAS
B05BA03	CARBOHIDRATOS
B05BA04	HIDROLIZADOS DE PROTEÍNAS
B05BA10	ASOCIACIONES
B05BB	SOLUCIONES QUE AFECTAN AL EQUILIBRIO ELECTROLÍTICO
B05BB01	ELECTROLITOS
B05BB02	ELECTROLITOS CON CARBOHIDRATOS
B05BB03	TROMETAMOL
B05BC	SOLUCIONES QUE PRODUCEN DIURESIS OSMÓTICA
B05BC01	MANITOL
B05BC02	CARBAMIDA
B05C	SOLUCIONES DE IRRIGACIÓN
B05CA	AGENTES ANTIINFECCIOSOS
B05CA01	CETILPIRIDINIO
B05CA02	CLORHEXIDINA
B05CA03	NITROFURAL
B05CA04	SULFAMETIZOL
B05CA05	TAUROLIDINA
B05CA06	ÁCIDO MANDÉLICO
B05CA07	NOXITIOLINA
B05CA08	LACTATO DE ETACRIDINA
B05CA09	NEOMICINA
B05CA10	COMBINACIONES
B05CB	SOLUCIONES SALINAS
B05CB01	CLORURO SÓDICO
B05CB02	CITRATO SÓDICO
B05CB03	CITRATO MAGNÉSICO
B05CB04	BICARBONATO SÓDICO
B05CB10	COMBINACIONES
B05CX	OTRAS SOLUCIONES PARA IRRIGACIÓN
B05CX01	GLUCOSA
B05CX02	SORBITOL
B05CX03	GLICINA
B05CX04	MANITOL
B05CX10	COMBINACIONES
B05D	SOLUCIONES PARA DIÁLISIS PERITONEAL
B05DA	SOLUCIONES ISOTÓNICAS
B05DB	SOLUCIONES HIPERTÓNICAS
B05X	ADITIVOS PARA SOLUCIONES IV
B05XA	SOLUCIONES ELECTROLÍTICAS
B05XA01	CLORURO DE POTASIO
B05XA02	BICARBONATO SÓDICO
B05XA03	CLORURO SÓDICO
B05XA04	CLORURO AMÓNICO
B05XA05	SULFATO MAGNÉSICO
B05XA06	FOSFATO DE POTASIO
B05XA07	CLORURO DE CALCIO
B05XA08	ACETATO SÓDICO
B05XA09	FOSFATO DE SODIO
B05XA10	FOSFATO MAGNÉSICO
B05XA11	CLORURO MAGNÉSICO
B05XA12	CLORURO DE ZINC
B05XA13	ÁCIDO HIDROCLORHÍDRICO
B05XA14	GLICEROFOSFATO SÓDICO
B05XA15	LACTATO POTÁSICO
B05XA16	SOLUCIONES PARA LA CARDIOPLEGIA
B05XA30	COMBINACIÓN DE ELECTROLITOS
B05XA31	ELECTROLITOS EN COMBINACIÓN CON OTRAS DROGAS
B05XB	AMINOÁCIDOS
B05XB01	ARGININA, HIDROCLORURO
B05XB02	ALANILGLUTAMINA
B05XB03	LISINA
B05XC	VITAMINAS
B05XX	OTROS ADITIVOS PARA SOLUCIONES INTRAVENOSAS
B05XX02	TROMETAMOL
B05Z	SOLUCIONES PARA HEMODIÁLISIS Y HEMOFILTRADOS
B05ZA	CONCENTRADOS PARA HEMODIÁLISIS
B05ZB	HEMOFILTRADOS
B06	OTROS AGENTES HEMATOLÓGICOS
B06A	OTROS AGENTES HEMATOLÓGICOS
B06AA	ENZIMAS
B06AA02	FIBRINOLISINA Y DESOXIRRIBONUCLEASA
B06AA03	HIALURONIDASA
B06AA04	QUIMOTRIPSINA
B06AA07	TRIPSINA
B06AA10	DESOXIRRIBONUCLEASA
B06AA11	BROMELAÍNA
B06AA55	ESTREPTOQUINASA
B06AB	OTROS PRODUCTOS CON GRUPO HEMO
B06AB01	HEMATINA
C	SISTEMA CARDIOVASCULAR
C01	TERAPIA CARDÍACA
C01A	GLUCÓSIDOS CARDÍACOS
C01AA	GLUCÓSIDOS DIGITÁLICOS
C01AA01	ACETILDIGITOXINA
C01AA03	HOJAS DE DIGITAL
C01AA04	DIGITOXINA
C01AA05	DIGOXINA
C01AA06	LANATOSIDO C
C01AA07	DESLANOSIDO
C01AA08	METILDIGOXINA
C01AA09	GITOFORMATO
C01AA52	ACETILDIGOXINA, COMBINACIONES
C01AB	GLUCÓSIDOS DE LA ESCILA
C01AB01	PROESCILARIDINA
C01AB51	PROESCILARIDINA, COMBINACIONES
C01AC	GLUCÓSIDOS DEL ESTROFANTO
C01AC01	G-ESTROFANTINA
C01AC03	CUMARINA
C01AX	OTROS GLUCÓSIDOS CARDÍACOS
C01AX02	PERVÓSIDO
C01B	ANTIARRÍTMICOS
C01BA	ANTIARRÍTMICOS
C01BA02	PROCAINAMIDA
C01BA03	DISOPIRAMIDA
C01BA04	ESPARTEINA
C01BA05	AJMALINA
C01BA08	PRAJMALINA
C01BA12	LORAJMINA
C01BA51	QUINIDINA, COMBINACIONES EXCL PSICOLÉPTICOS
C01BA71	QUINIDINA, COMBINACIONES INCL PSICOLÉPTICOS
C01BB	ANTIARRÍTMICOS
C01BB01	LIDOCAÍNA  ANTIARRÍTMICO
C01BB02	MEXILETINA
C01BB03	TOCAINIDA
C01BB04	APRINDINA
C01BC	ANTIARRÍTMICOS
C01BC03	PROPAFENONA
C01BC04	FLECAINIDA
C01BC07	LORCAINIDA
C01BC08	ENCAINIDA
C01BD	ANTIARRÍTMICOS
C01BD01	AMIODARONA
C01BD02	TOSILATO DE BRETILIO
C01BD03	BUNAFTINA
C01BD04	DOFETILIDA
C01BD05	IBUTILIDA
C01BD07	DRONEDARONA
C01BG	OTROS ANTIARRÍTMICOS DE CLASE I
C01BG01	MORACIZINA
C01BG07	CIBENZOLINA
C01C	ESTIMULANTES CARDÍACOS EXCL
C01CA	AGENTES ADRENÉRGICOS Y DOPAMINÉRGICOS
C01CA01	ETILEFRINA
C01CA02	ISOPRENALINA
C01CA03	NOREPINEFRINA
C01CA04	DOPAMINA
C01CA05	NORFENEFRINA
C01CA06	FENILEFRINA
C01CA07	DOBUTAMINA
C01CA08	OXEDRINE
C01CA09	METARAMINOL
C01CA10	METOXAMINA
C01CA11	MEFENTERMINA
C01CA12	DIMETOFRINA
C01CA13	PRENALTEROL
C01CA14	DOPEXAMINA
C01CA15	GEPEFRINA
C01CA16	IBOPAMINA
C01CA17	MIDODRINA
C01CA18	OCTOPAMINA
C01CA19	FENOLDOPAN
C01CA21	CAFEDRINA
C01CA22	ARBUTAMINA
C01CA23	TEODRENALINA
C01CA24	EPINEFRINA
C01CA30	COMBINACIONES
C01CA51	ETILEFRINA, COMBINACIONES
C01CE	INHIBIDORES DE FOSFODIESTERASA
C01CE01	ANRINONA
C01CE02	MILRINONA
C01CE03	ENOXIMONA
C01CE04	BUCLADESINA
C01CX	OTROS ESTIMULANTES CARDIACOS
C01CX06	ANGIOTENSINAMIDA
C01CX07	XAMOTEROL
C01CX08	LEVOSIMENDÁN
C01D	VASODILATADORES USADOS EN ENFERMEDADES CARDIACAS
C01DA	NITRATOS ORGÁNICOS
C01DA02	GLICERIL TRINITRATO
C01DA04	DINITRATO DE METILPROPILPROPANODIOL
C01DA05	PENTAERITRITILO, TETRANITRATO
C01DA07	PROPATILNITRATO
C01DA08	DINITRATO DE ISOSORBIDE
C01DA09	TROLNITRATO
C01DA13	TETRANITRATO DE ERITRITILO
C01DA14	MONONITRATO DE ISOSORBIDE
C01DA20	NITRATOS ORGÁNICOS EN COMBINACIÓN
C01DA38	TENITRAMINA
C01DA52	NITROGLICERINA, COMBINACIONES
C01DA54	DINITRATO DE METILPROPILPROPANODIOL, COMBINACIONES
C01DA55	TETRANITRATO DE PENTAERITRITILO, COMBINACIONES
C01DA57	PROPATILNITRATO, COMBINACIONES
C01DA58	DINITRATO DE ISOSORBIDE, COMBINACIONES
C01DA59	TROLNITRATO, COMBINACIONES
C01DA63	TETRANITRATO DE ERITRITILO, COMBINACIONES
C01DA70	NITRATOS ORGÁNICOS EN COMBINACIÓN CON PSICOLÉPTICOS
C01DB	VASODILATADORES DE TIPO QUINOLONA
C01DB01	FLOSEQUINAN
C01DX	OTROS VASODILATADORES USADOS EN ENFERMEDADES CARDIACAS
C01DX01	TOSILATO DE ITRAMINA
C01DX02	PRENILAMINA
C01DX03	OXIFEDRINA
C01DX04	BENZODARONA
C01DX05	CARBOCROMEN
C01DX06	HEXOBENDINA
C01DX07	ETAFENONA
C01DX08	HEPTAMINOL
C01DX09	IMOLAMINA
C01DX10	DILAZEP
C01DX11	TRAPIDIL
C01DX12	MOLSIDOMINA
C01DX13	EFLOXATO
C01DX14	CINEPAZET
C01DX15	CLORIDAROL
C01DX16	NICORANDIL
C01DX18	LINSIDOMINA
C01DX19	NESIRITIDA
C01DX51	TOSILATO DE ITRAMINA, COMBINACIONES
C01DX52	PRENILAMINA, COMBINACIONES
C01DX53	OXIFEDRINA, COMBINACIONES
C01DX54	BENZODARONA, COMBINACIONES
C01E	OTROS PREPARADOS CARDIACOS
C01EA	PROSTAGLANDINAS
C01EA01	ALPROSTADIL
C01EB	OTROS PREPARADOS CARDIACOS
C01EB02	CÁNFORA
C01EB03	INDOMETACINA
C01EB04	GLICÓSIDOS DEL CRATAEGUS
C01EB05	CREATINOLFOSFATO
C01EB06	FOSFOCREATININA
C01EB07	FRUCTOSA 1,6-DIFOSFATO
C01EB09	UBIDECARENONA
C01EB10	ADENOSINA
C01EB11	TIRACIZINA
C01EB12	TEDISAMIL
C01EB13	ACADESINA
C01EB15	TRIMETAZIDINA
C01EB16	IBUPROFENO
C01EB17	IVABRADINA
C01EB18	RANOLAZINA
C01EB19	ICATIBANT
C01EX	COMBINACIONES DE OTROS PRODUCTOS PARA EL CORAZÓN
C02	ANTIHIPERTENSIVOS
C02A	ANTIADRENÉRGICOS DE ACCIÓN CENTRAL
C02AA	ALCALOIDES DE LA RAUWOLFIA
C02AA01	RESCINAMINA
C02AA02	RESERPINA
C02AA03	COMBINACIONES DE ALCALOIDES DE LA RAUWOLFIA
C02AA04	ALCALOIDES DE LA RAUWOLFIA ENTEROS
C02AA05	DESERPIDINA
C02AA06	METOSERPIDINA
C02AA07	BIETASERPINA
C02AA52	RESERPINA, COMBINACIONES
C02AA53	COMBINACIONES DE ALCALOIDES DE LA RAUWOLFIA
C02AA57	BIETASERPINA, COMBINACIONES
C02AB	METILDOPA
C02AB01	METILDOPA
C02AB02	METILDOPA RACÉMICA
C02AC	AGONISTAS DEL RECEPTOR DE IMIDAZOLIDINA
C02AC01	CLONIDINA
C02AC02	GUANFACINA
C02AC04	TOLONIDINA
C02AC05	MOXONIDINA
C02AC06	RILMENIDINA
C02B	AGENTES ANTIADRENÉRGICOS POR BLOQUEO GANGLIONAR
C02BA	DERIVADOS DEL SULFONIO
C02BA01	TRIMETAFÁN
C02BB	AMINAS SECUNDARIAS Y TERCIARIAS
C02BB01	MECAMILAMINA
C02BC	COMPUESTOS DE AMONIO BICUATERNARIO
C02C	AGENTES ANTIADRENÉRGICOS DE ACCIÓN PERIFÉRICA
C02CA	BLOQUEANTES DE RECEPTORES ALFA
C02CA01	PRAZOSINA
C02CA02	INDORAMIN
C02CA03	TRIMAZOSIN
C02CA04	DOXAZOSINA
C02CA06	URAPIDIL
C02CC	DERIVADOS DE LA GUANIDINA
C02CC01	BETANIDINA
C02CC02	GUANETIDINA
C02CC03	GUANOXAN
C02CC04	DEBRISOQUINA
C02CC05	GUANOCLOR
C02CC06	GUANAZODINA
C02CC07	GUANOXABENZ
C02D	AGENTES QUE ACTÚAN SOBRE EL MÚSCULO LISO ARTERIOLAR
C02DA	DERIVADOS TIAZÍDICOS
C02DA01	DIAZÓXIDO
C02DB	DERIVADOS HIDRAZINOFTALAZÍNICOS
C02DB01	DIHIDRALAZINA
C02DB02	HIDRALAZINA
C02DB03	ENDRALAZINA
C02DB04	CADRALAZINA
C02DC	DERIVADOS DE PIRIMIDINA
C02DC01	MINOXIDIL
C02DD	DERIVADOS DE NITROFERRICIANURO
C02DD01	NITROPRUSIATO
C02DG	DERIVADOS DE LA GUANIDINA
C02DG01	PINACIDILO
C02K	OTROS ANTIHIPERTENSIVOS
C02KA	ALCALOIDES, EXCL LOS DE LA RAUWOLFIA
C02KA01	VERATRUM
C02KB	INHIBIDORES DE LA TIROSINA HIDROXILASA
C02KB01	METIROSINA
C02KC	INHIBIDORES DE LA MAO
C02KC01	PARGILINA
C02KD	ANTAGONISTAS DE LA SEROTONINA
C02KD01	KETANSERINA
C02KX	OTROS ANTIHIPERTENSIVOS
C02KX01	BOSENTÁN
C02KX02	AMBRISENTÁN
C02KX03	SITAXENTÁN
C02L	ANTIHIPERTENSIVOS Y DIURÉTICOS EN COMBINACIÓN
C02LA	ALCALOIDES DE LA RAUWOLFIA Y DIURÉTICOS EN COMBINACIÓN
C02LA01	RESERPINA Y DIURÉTICOS
C02LA02	RESCINAMINA Y DIURÉTICOS
C02LA03	DESERPIDINA Y DIURÉTICOS
C02LA04	METOSERPIDINA Y DIURÉTICOS
C02LA07	BIETASERPINA Y DIURÉTICOS
C02LA08	ALCALOIDES DE LA RAUWOLFIA (ENTEROS) Y DIURÉTICOS
C02LA09	SIROSINGOPINA Y DIURÉTICOS
C02LA50	COMBINACIONES ALCALOIDES DE LA RAUWOLFIA Y DIURÉTICOS, INCLUYENDO OTRAS COMBINACIONES
C02LA51	RESERPINA Y DIURÉTICOS, COMBINACIONES CON OTRAS DROGAS
C02LA52	RESCINAMINA Y DIURÉTICOS, COMBINACIONES CON OTRAS DROGAS
C02LA71	RESERPINA Y DIURÉTICOS, COMBINACIONES CON OTRAS PSICOLÉPTICOS
C02LB	METILDOPA Y DIURÉTICOS EN COMBINACIÓN
C02LB01	METILDOPA (LEVÓGIRA) Y DIURÉTICOS
C02LC	AGONISTAS DEL RECEPTOR DE IMIDAZOLINA Y DIURÉTICOS EN COMBINACIÓN
C02LC01	CLONIDINA Y DIURÉTICOS
C02LC05	MOXONIDINA Y DIURÉTICOS
C02LC51	CLONIDINA Y DIURÉTICOS, COMBINACIONES CON OTRAS DROGAS
C02LE	ANTAGONISTAS ALFA- ADRENÉRGICOS Y DIURÉTICOS
C02LE01	PRAZOSIN Y DIURÉTICOS
C02LF	DERIVADOS DE LA GUANIDINA Y DIURÉTICOS
C02LF01	GUANETIDINA Y DIURÉTICOS
C02LG	DERIVADOS DE LA HIDRAZINOFTALAZINA Y DIURÉTICOS
C02LG01	DIHIDRALAZINA Y DIURÉTICOS
C02LG02	HIDRALAZINA Y DIURÉTICOS
C02LG03	PICODRALAZINA Y DIURÉTICOS
C02LG51	DIHIDRALAZINA Y DIURÉTICOS, COMBINACIONES CON OTRAS DROGAS
C02LG73	PICODRALAZINA Y DIURÉTICOS, COMBINACIONES CON OTRAS PSICOLÉPTICOS
C02LK	ALCALOIDES, EXCL LOS DE LA RAUWOLFIA, Y DIURÉTICOS
C02LK01	VERATRUM Y DIURÉTICOS
C02LL	INHIBIDORES DE LA MAO Y DIURÉTICOS
C02LL01	PARGILINA Y DIURÉTICOS
C02LN	ANTAGONISTAS DE SEROTONINA Y DIURÉTICOS
C02LX	OTROS ANTIHIPERTENSIVOS Y DIURÉTICOS
C02LX01	PINACIDIL Y DIURÉTICOS
C02N	COMBINACIONES DE ANTIHIPERTENSIVOS DEL GRUPO C02 DE ATC
C03	DIURÉTICOS
C03A	DIURÉTICOS DE TECHO BAJO
C03AA	TIAZIDAS
C03AA01	BENDROFLUMETIAZIDA
C03AA02	HIDROFLUMETIAZIDA
C03AA03	HIDROCLOROTIAZIDA
C03AA04	CLOROTIAZIDA
C03AA05	POLITIAZIDA
C03AA06	TRICLORMETIAZIDA
C03AA07	CICLOPENTIAZIDA
C03AA08	METICLOTIAZIDA
C03AA09	CICLOTIAZIDA
C03AA13	MEBUTIZIDE
C03AB	TIAZIDAS Y POTASIO EN COMBINACIÓN
C03AB01	BENDROFLUMETIAZIDA Y POTASIO
C03AB02	HIDROFLUMETIAZIDA Y POTASIO
C03AB03	HIDROCLOROTIAZIDA Y POTASIO
C03AB04	CLOROTIAZIDA Y POTASIO
C03AB05	POLITIAZIDA Y POTASIO
C03AB06	TRICLORMETIAZIDA Y POTASIO
C03AB07	METICLOTIAZIDA Y POTASIO
C03AB08	METICLOTIAZIDA Y POTASIO
C03AB09	CICLOTIAZIDA Y POTASIO
C03AH	TIAZIDAS, COMBINACIONES CON PSICOLÉPTICOS O ANALGÉSICOS
C03AH01	CLOROTIAZIDA, COMBINACIONES
C03AH02	HIDROFLUMETIAZIDA, COMBINACIONES
C03AX	TIAZIDAS
C03AX01	HIDROCLOROTIAZIDA, COMBINACIONES
C03B	DIURÉTICOS DE TECHO BAJO
C03BA	SULFONAMIDAS
C03BA02	QUINETAZONA
C03BA03	CLOPAMIDA
C03BA04	CLORTALIDONA
C03BA05	MEFRUSIDA
C03BA07	CLOFENAMIDA
C03BA08	METOLAZONA
C03BA09	METICRANE
C03BA10	XIPAMIDA
C03BA11	INDAPAMIDA
C03BA12	CLOREXOLONA
C03BA13	FENQUIZONA
C03BA82	CLOREXOLONA, COMBINACIONES CON PSICOLÉPTICOS
C03BB	SULFONAMIDAS Y POTASIO, EN COMBINACIÓN
C03BB02	QUINETAZONA Y POTASIO
C03BB03	CLOPAMIDA Y POTASIO
C03BB04	CLORTALIDONA Y POTASIO
C03BB05	MEFRUSIDA Y POTASIO
C03BB07	CLOFENAMIDE Y POTASIO
C03BC	DIURÉTICOS MERCURIALES
C03BC01	MERSALIL
C03BD	DERIVADOS DE LA XANTINA
C03BD01	TEOBROMINA
C03BK	SULFONAMIDAS COMBINADAS CON OTRAS DROGAS
C03BX	OTROS DIURÉTICOS DE TECHO BAJO
C03BX03	CICLETANINA
C03C	DIURÉTICOS DE TECHO ALTO
C03CA	SULFONAMIDAS
C03CA01	FUROSEMIDA
C03CA02	BUMETANIDA
C03CA03	PIRETANIDA
C03CA04	TORASEMIDA
C03CB	SULFONAMIDAS Y POTASIO, EN COMBINACIÓN
C03CB01	FUROSEMIDA Y POTASIO
C03CB02	BUMETANIDA Y POTASIO
C03CC	DERIVADOS DEL ÁCIDO ARILOXIACÉTICO
