"CNAMTS - CCAM version 23 applicable au 25/01/2010";;;;;;;;;
"Code";"c";"Texte";"Activité";"Phase";"Tarif
(en euro)";"Rembt. ss Cdtions";"Accord Préalable";"Exo. TM";"Regroupement"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY250, YYYY300)";;;;;;;
"ENFF001";;"Thrombectomie ou embolectomie mécanique d'un pontage artériel non anatomique des membres, par voie artérielle transcutanée";1;0;313,50;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY200, YYYY300, ZZHA001)";;;;;;;
"ENFA006";;"Thrombectomie de pontage artériel d'un membre sans réfection d'anastomose, par abord direct";1;0;229,24;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"À l'exclusion de : thrombectomie d'un pontage ou d'une thromboendartériectomie des troncs supraaortiques, par thoracotomie (EBFA004)";;;;;;;
;;"anesthésie";4;0;138,84;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY068, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
"ENFA001";;"Thrombectomie de pontage artériel d'un membre avec réfection d'anastomose sans prolongement du pontage, par abord direct";1;0;418,00;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"À l'exclusion de : thrombectomie d'un pontage ou d'une thromboendartériectomie des troncs supraaortiques, par thoracotomie (EBFA004)";;;;;;;
;;"anesthésie";4;0;212,43;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY068, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
"ENFA004";;"Thrombectomie de pontage artériel d'un membre avec réfection d'anastomose et prolongement du pontage, par abord direct";1;0;510,71;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"À l'exclusion de : thrombectomie d'un pontage ou d'une thromboendartériectomie des troncs supraaortiques, par thoracotomie (EBFA004)";;;;;;;
;;"anesthésie";4;0;232,96;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY013, YYYY068, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
"ENFA005";;"Changement d'un pontage artériel d'un membre avec thrombectomie de l'axe artériel, par abord direct";1;0;498,78;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"anesthésie";4;0;241,02;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY013, YYYY068, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
;;;;;;;;;
"04.03.16.03";;"Autres actes thérapeutiques sur les artères";;;;;;;
;;;;;;;;;
"EDLF002";;"Pose d'un cathéter artériel ombilical";1;0;;;;1;"ATM"
;;"(ZZLP025)";;;;;;;
"EZSA004";;"Hémostase secondaire à un acte sur les vaisseaux des membres, par abord direct";1;0;169,44;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;136,72;;;1;"ADA"
;;"(GELE001)";;;;;;;
"ENFA002";;"Prélèvement de greffe artérielle des membres, sur un sujet en état de mort encéphalique";1;0;;;;1;"ADC"
;;"anesthésie";4;0;;;;1;"ADA"
;;;;;;;;;
"04.04";;"ACTES THÉRAPEUTIQUES SUR LES VEINES";;;;;;;
;;;;;;;;;
;;;;;;;;;
"04.04.01";;"Actes thérapeutiques sur les veines cervicocéphaliques et les veines du membre supérieur";;;;;;;
;;"Veines du membre supérieur comprend :
- veines de l'avant-bras et du bras
- veine subclavière
- veine brachiocéphalique.";;;;;;;
;;;;;;;;;
;;;;;;;;;
"04.04.01.01";;"Suture de plaie de veine cervicocéphalique et de veine du membre supérieur";;;;;;;
;;;;;;;;;
"EFCA001";;"Suture de plaie de veine profonde du membre supérieur ou du cou, par abord direct";1;0;138,33;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"À l'exclusion de : suture de plaie de la veine brachiocéphalique, par thoracotomie (DHCA003)";;;;;;;
;;"anesthésie";4;0;78,08;;;1;"ADA"
;;"(GELE001)";;;;;;;
"DHCA003";;"Suture de plaie de la veine brachiocéphalique ou de la veine cave supérieure, par thoracotomie";1;0;619,15;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"anesthésie";4;0;343,99;;;1;"ADA"
;;"(GELE001, YYYY189)";;;;;;;
;;;;;;;;;
"04.04.01.02";;"Dilatation intraluminale de veine cervicocéphalique et de veine du membre supérieur";;;;;;;
;;;;;;;;;
"EFAF002";;"Dilatation intraluminale d'une veine du membre supérieur sans pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[F, P, S, U]";;"(YYYY200, YYYY300, ZZLP008)";;;;;;;
"EFAF001";;"Dilatation intraluminale d'une veine du membre supérieur avec pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY200, YYYY300)";;;;;;;
;;;;;;;;;
"04.04.01.03";;"Désobstruction de veine cervicocéphalique et de veine du membre supérieur";;;;;;;
;;;;;;;;;
"EFNF001";;"Fibrinolyse in situ de la veine subclavière et/ou de la veine brachiocéphalique, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY200, YYYY300)";;;;;;;
"EFPF002";;"Recanalisation d'une veine du membre supérieur sans pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[F, P, S, U]";;"(YYYY200, YYYY300, ZZLP008)";;;;;;;
"EFPF001";;"Recanalisation d'une veine du membre supérieur avec pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY200, YYYY300)";;;;;;;
"EFLF001";;"Pose d'endoprothèse couverte dans une veine du membre supérieur, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[A, F, P, S, U, 7]";;"Indication : hyperplasie récidivante au niveau d'une endoprothèse vasculaire, rupture d’un tronc veineux proximal";;;;;;;
;;"Environnement : spécifique";;;;;;;
;;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY200, YYYY300)";;;;;;;
"EFJF001";;"Thromboaspiration de la veine subclavière et/ou de la veine brachiocéphalique, par voie veineuse transcutanée";1;0;209,00;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY200, YYYY300)";;;;;;;
;;;;;;;;;
"04.04.01.04";;"Occlusion et exérèse de veine cervicocéphalique et de veine du membre supérieur";;;;;;;
;;;;;;;;;
"EFFA001";;"Résection ou ligature d'une veine profonde du membre supérieur ou du cou, par abord direct";1;0;103,37;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"À l'exclusion de : résection de la veine brachiocéphalique, par thoracotomie (EFFA002)";;;;;;;
;;"anesthésie";4;0;71,85;;;1;"ADA"
;;"(GELE001, ZZHA001)";;;;;;;
"EFFA002";;"Résection de la veine brachiocéphalique, par thoracotomie";1;0;530,74;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"anesthésie";4;0;336,66;;;1;"ADA"
;;"(GELE001, YYYY189, ZZHA001)";;;;;;;
;;;;;;;;;
"04.04.01.05";;"Autres actes thérapeutiques sur les veines cervicocéphaliques et les veines du membre supérieur";;;;;;;
;;;;;;;;;
"EBEA001";;"Réimplantation de la veine jugulaire interne dans la veine axillaire, par abord direct";1;0;522,50;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"anesthésie";4;0;274,70;;;1;"ADA"
;;"(GELE001, ZZHA001)";;;;;;;
"EBCA012";;"Pontage veineux juguloaxillaire, par cervicotomie";1;0;522,50;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"anesthésie";4;0;258,58;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY013, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
"DHCA002";;"Pontage de la veine brachiocéphalique ou de la veine cave supérieure, par thoracotomie";1;0;809,44;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"Pontage veineux cavoatrial";;;;;;;
;;"anesthésie";4;0;460,15;;;1;"ADA"
;;"(GELE001, YYYY013, YYYY189, ZZHA001)";;;;;;;
;;;;;;;;;
"04.04.02";;"Actes thérapeutiques sur la veine cave supérieure";;;;;;;
;;;;;;;;;
;;;;;;;;;
"04.04.02.01";;"Dilatation intraluminale de la veine cave supérieure";;;;;;;
;;;;;;;;;
"DHAF003";;"Dilatation intraluminale de la veine cave supérieure sans pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[F, P, S, U]";;"(YYYY200, YYYY300, ZZLP008)";;;;;;;
"DHAF001";;"Dilatation intraluminale de la veine cave supérieure avec pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY200, YYYY300)";;;;;;;
;;;;;;;;;
"04.04.02.02";;"Désobstruction de la veine cave supérieure";;;;;;;
;;;;;;;;;
"DHNF005";;"Fibrinolyse in situ de la veine cave supérieure, par voie veineuse transcutanée";1;0;209,00;;;1;"ATM"
"[A, F, P, S, U, 7]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
;;"Environnement : spécifique";;;;;;;
;;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY180, YYYY300)";;;;;;;
"DHPF001";;"Recanalisation de la veine cave supérieure sans pose d'endoprothèse, par voie veineuse transcutanée";1;0;"Non pris en charge";;;1;"ATM"
"DHPF002";;"Recanalisation de la veine cave supérieure avec pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY200, YYYY300)";;;;;;;
"DHNF001";;"Thrombolyse mécanique ou thromboaspiration de la veine cave supérieure, par voie veineuse transcutanée";1;0;261,25;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY180, YYYY300)";;;;;;;
"DHPA001";;"Désobstruction de la veine cave supérieure, par thoracotomie";1;0;599,41;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"anesthésie";4;0;364,88;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY105, YYYY189, YYYY300, ZZQA003)";;;;;;;
;;;;;;;;;
"04.04.03";;"Actes thérapeutiques sur les veines du membre inférieur";;;;;;;
;;"Comprend :
- veines de la jambe et de la cuisse
- veine iliaque externe
- veine iliaque commune";;;;;;;
;;"Les actes thérapeutiques sur les veines des membres inférieurs incluent la contention veineuse.";;;;;;;
;;;;;;;;;
;;;;;;;;;
"04.04.03.01";;"Suture de veine du membre inférieur";;;;;;;
;;;;;;;;;
"EJCA001";;"Suture de plaie de veine profonde de la jambe et/ou de la cuisse, par abord direct";1;0;179,72;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;91,64;;;1;"ADA"
;;"(GELE001)";;;;;;;
"EGCA002";;"Suture de plaie du tronc ou des branches viscérales de la veine iliaque et/ou de la veine cave inférieure infrahépatique, par laparotomie";1;0;363,42;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"anesthésie";4;0;286,21;;;1;"ADA"
;;"(GELE001)";;;;;;;
;;;;;;;;;
"04.04.03.02";;"Dilatation intraluminale de veine du membre inférieur";;;;;;;
;;;;;;;;;
"EGAF003";;"Dilatation intraluminale de la veine iliaque externe et/ou de la veine iliaque commune sans pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[F, P, S, U]";;"(YYYY200, YYYY300, ZZLP008)";;;;;;;
"EGAF002";;"Dilatation intraluminale de la veine iliaque externe et/ou de la veine iliaque commune avec pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[A, F, P, S, U, 7]";;"Indication : compressions tumorales ; sténoses post-radiques; lésions traumatiques ou iatrogènes";;;;;;;
;;"Environnement : spécifique";;;;;;;
;;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY200, YYYY300)";;;;;;;
;;;;;;;;;
"04.04.03.03";;"Désobstruction de veine du membre inférieur";;;;;;;
;;;;;;;;;
"EJNF001";;"Fibrinolyse in situ d'une veine du membre inférieur, par injection transcutanée dans une veine du dos du pied";1;0;209,00;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY180, YYYY300)";;;;;;;
"EGNF002";;"Fibrinolyse in situ de la veine iliaque externe et/ou de la veine iliaque commune, par voie veineuse transcutanée";1;0;209,00;;;1;"ATM"
"[A, F, P, S, U, 7]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
;;"Environnement : spécifique";;;;;;;
;;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY180, YYYY300)";;;;;;;
"DHNF002";;"Fibrinolyse in situ fémoro-ilio-cave, par voie veineuse transcutanée";1;0;209,00;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY180, YYYY300)";;;;;;;
"DHNF006";;"Fibrinolyse in situ fémoro-ilio-cave avec oblitération partielle de la veine cave inférieure [pose d'un filtre cave], par voie veineuse transcutanée";1;0;292,60;;;1;"ATM"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;135,85;;;1;"ADA"
;;"(YYYY180, YYYY300)";;;;;;;
"EGPF001";;"Recanalisation de la veine iliaque externe et/ou de la veine iliaque commune avec pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[F, P, S, U]";;"Indication : patients symptomatiques stade C3-C6 de la classification CEAP ou claudication veineuse";;;;;;;
;;"Environnement : spécifique";;;;;;;
;;"(YYYY200, YYYY300, ZZLP008)";;;;;;;
"EGJF002";;"Thromboaspiration de la veine iliaque externe et/ou de la veine iliaque commune, par voie veineuse transcutanée";1;0;209,00;;;1;"ATM"
"[A, F, P, S, U, 7]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
;;"Environnement : spécifique";;;;;;;
;;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY180, YYYY300)";;;;;;;
"EGFA004";;"Thrombectomie veineuse fémoro-iliaque, par abord fémoral";1;0;246,51;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;89,73;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
"DHFA003";;"Thrombectomie des veines iliaques et/ou de la veine cave inférieure, par laparotomie";1;0;536,34;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"Avec ou sans : interruption partielle de la veine cave inférieure";;;;;;;
;;"anesthésie";4;0;302,90;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
;;;;;;;;;
"04.04.03.04";;"Pontage de veine du membre inférieur";;;;;;;
;;;;;;;;;
"EJCA002";;"Pontage veineux poplité-fémoral, par abord direct";1;0;344,27;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;172,88;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY013, YYYY068, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
"EGCA003";;"Pontage veineux fémoro-iliaque homolatéral, fémorocave ou fémororénal, par abord direct";1;0;552,13;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;232,92;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY013, YYYY068, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
"EJCA003";;"Pontage veineux croisé fémorofémoral ou fémoro-iliaque, par abord direct";1;0;418,00;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;190,81;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY013, YYYY068, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
"DHCA004";;"Pontage veineux ilio-iliaque ou iliocave, par laparotomie";1;0;555,42;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;229,90;;;1;"ADA"
;;"(EZQH004, GELE001, YYYY013, YYYY105, YYYY300, ZZHA001, ZZQA003)";;;;;;;
;;;;;;;;;
"04.04.03.05";;"Autres restaurations de veine du membre inférieur";;;;;;;
;;;;;;;;;
"EJMA901";;"Valvuloplastie de veine superficielle du membre inférieur, par abord direct";1;0;"Non pris en charge";;;1;"ADC"
;;"anesthésie";4;0;;;;1;"ADA"
"EJMA900";;"Valvuloplastie de veine profonde du membre inférieur, par abord direct";1;0;"Non pris en charge";;;1;"ADC"
;;"anesthésie";4;0;;;;1;"ADA"
"EJBA001";;"Interposition d'un segment veineux valvulé sur la veine poplitée ou la veine fémorale, par abord direct";1;0;366,89;;;1;"ADC"
"[A, J, K, 7]";;"anesthésie";4;0;146,30;;;1;"ADA"
;;"(GELE001, YYYY013, ZZHA001)";;;;;;;
"EJEA001";;"Réimplantation de la veine fémorale dans la veine grande saphène ou dans la veine profonde de la cuisse [veine fémorale profonde], par abord direct";1;0;343,04;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;146,30;;;1;"ADA"
;;"(GELE001, ZZHA001)";;;;;;;
"EGFA009";;"Résection de la veine fémorale et/ou de la veine iliaque sans reconstruction, par abord direct";1;0;446,49;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"Exérèse de tumeur de la veine fémorale et/ou de la veine iliaque, sans reconstruction";;;;;;;
;;"anesthésie";4;0;90,83;;;1;"ADA"
;;"(GELE001, ZZHA001)";;;;;;;
"EGFA006";;"Résection de la veine fémorale et/ou de la veine iliaque avec reconstruction, par abord direct";1;0;558,93;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"Exérèse de tumeur de la veine fémorale et/ou de la veine iliaque, avec reconstruction";;;;;;;
;;"anesthésie";4;0;146,30;;;1;"ADA"
;;"(GELE001, YYYY013, ZZHA001)";;;;;;;
"EGPA001";;"Décompression de la veine iliaque, par laparotomie";1;0;432,10;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"Avec ou sans : transposition artérielle";;;;;;;
;;"anesthésie";4;0;80,64;;;1;"ADA"
;;"(GELE001)";;;;;;;
;;;;;;;;;
"04.04.03.06";;"Exérèse des veines saphènes";;;;;;;
;;"Comprend : exérèse de la :
- grande veine saphène [veine saphène interne] 
- petite veine saphène [veine saphène externe]";;;;;;;
;;;;;;;;;
"EJFA007";;"Exérèse de la crosse de la grande veine saphène, par abord direct";1;0;85,14;;;1;"ADC"
"[A, J, K, 7]";;"Crossectomie saphène interne, par abord direct";;;;;;;
;;"Environnement : spécifique ; milieu chirurgical";;;;;;;
;;"anesthésie";4;0;61,59;;;1;"ADA"
;;"(GELE001)";;;;;;;
"EJFA004";;"Exérèse de la crosse de la petite veine saphène, par abord direct";1;0;88,43;;;1;"ADC"
"[A, J, K, 7]";;"Crossectomie saphène externe";;;;;;;
;;"Avec ou sans : ligature ou résection de la portion terminale de veine surale [jumelle] et/ou de veine perforante de la région poplitée";;;;;;;
;;"Environnement : spécifique ; milieu chirurgical";;;;;;;
;;"anesthésie";4;0;71,48;;;1;"ADA"
;;"(GELE001)";;;;;;;
"EJFA006";;"Exérèse secondaire de la crosse de la grande veine saphène ou de la petite veine saphène, par abord direct";1;0;235,06;;;1;"ADC"
"[A, J, K, 7]";;"Résection de cavernome d'une veine saphène";;;;;;;
;;"Avec ou sans :
- éveinage saphène
- phlébectomie complémentaire";;;;;;;
;;"Environnement : spécifique ; milieu chirurgical";;;;;;;
;;"anesthésie";4;0;76,97;;;1;"ADA"
;;"(GELE001)";;;;;;;
"EJFA008";;"Exérèse de la grande veine saphène sans exérèse de la crosse, par abords directs multiples sous anesthésie locale";1;0;94,05;;;1;"ADC"
;;"Phlébectomie ambulatoire saphène interne en l'absence d'incontinence ostiale";;;;;;;
;;"Avec ou sans : exérèse ou ligature de veine collatérale
                       ligature de veine perforante";;;;;;;
;;"Environnement : spécifique ; milieu chirurgical";;;;;;;
"EJFA009";;"Exérèse de la petite veine saphène sans exérèse de la crosse, par abords directs multiples sous anesthésie locale";1;0;94,05;;;1;"ADC"
;;"Phlébectomie ambulatoire saphène externe en l'absence d'incontinence ostiale";;;;;;;
;;"Avec ou sans : exérèse ou ligature de veine collatérale
                       ligature de veine perforante";;;;;;;
;;"Environnement : spécifique ; milieu chirurgical";;;;;;;
"EJGA002";;"Extraction [Stripping] de la grande veine saphène, par abord direct";1;0;167,20;;;1;"ADC"
"[A, J, K, 7]";;"Éveinage saphène interne avec crossectomie";;;;;;;
;;"Avec ou sans :
- exérèse, ligature ou sclérose de veine variqueuse
- ligature de veine perforante";;;;;;;
;;"anesthésie";4;0;69,27;;;1;"ADA"
;;"(GELE001)";;;;;;;
"EJGA001";;"Extraction [Stripping] de la petite veine saphène, par abord direct";1;0;167,20;;;1;"ADC"
"[A, J, K, 7]";;"Éveinage saphène externe avec crossectomie";;;;;;;
;;"Avec ou sans : exérèse, ligature ou sclérose de veine variqueuse et/ou de la portion terminale de veine surale [jumelle]
                       ligature de veine perforante";;;;;;;
;;"anesthésie";4;0;74,77;;;1;"ADA"
;;"(GELE001)";;;;;;;
"EJGA003";;"Extraction [Stripping] de la grande veine saphène et de la petite veine saphène, par abord direct";1;0;194,00;;;1;"ADC"
"[A, J, K, 7]";;"Éveinage saphène interne et externe avec crossectomie, par abord direct";;;;;;;
;;"Avec ou sans : exérèse, ligature ou sclérose de veine variqueuse et/ou de la portion terminale de veine surale [jumelle]
                       ligature de veine perforante";;;;;;;
;;"anesthésie";4;0;78,81;;;1;"ADA"
;;"(GELE001)";;;;;;;
;;;;;;;;;
"04.04.03.07";;"Autres exérèses de veine du membre inférieur";;;;;;;
;;;;;;;;;
"EJFB001";;"Séance d'exérèse de segment de varice ou de veine perforante du membre inférieur, par voie transcutanée sous anesthésie locale";1;0;66,99;;;1;"ATM"
;;"Séance de phlébectomie du membre inférieur selon Müller";;;;;;;
"EJFA002";;"Exérèses multiples de branches de la grande veine saphène et/ou de la petite veine saphène sous anesthésie générale ou locorégionale, par abord direct";1;0;122,57;;;1;"ADC"
"[A, 7]";;"Phlébectomie étendue du membre inférieur sous anesthésie générale ou locorégionale";;;;;;;
;;"anesthésie";4;0;71,48;;;1;"ADA"
;;"(GELE001)";;;;;;;
;;;;;;;;;
"04.04.03.08";;"Occlusion de veine du membre inférieur";;;;;;;
;;;;;;;;;
"EJNF002";;"Séance de sclérose de varice du membre inférieur, par injection intraveineuse transcutanée sans guidage";1;0;18,93;"RC";;1;"ATM"
;;"Indication : acte thérapeutique";;;;;;;
;;"Facturation : les actes à visée esthétique ne peuvent pas être facturés";;;;;;;
"EJNJ001";;"Séance de sclérose de veine du membre inférieur, par injection intraveineuse transcutanée avec guidage échographique";1;0;37,46;"RC";;1;"ATM"
;;"Indication : acte thérapeutique";;;;;;;
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
;;"Facturation : 
- les actes à visée esthétique ne peuvent pas être facturés
- le tarif prend en compte le guidage échographique";;;;;;;
"EJSF900";;"Occlusion de veine saphène par laser, par voie veineuse transcutanée";1;0;"Non pris en charge";;;1;"ADC"
;;"Avec ou sans : guidage échographique
                      exérèse, ligature et/ou sclérose de veine variqueuse
                      ligature de veine perforante";;;;;;;
;;"anesthésie";4;0;;;;1;"ADA"
"EJSF901";;"Occlusion de la grande veine saphène par radiofréquence, par voie veineuse transcutanée";1;0;"Non pris en charge";;;1;"ADC"
;;"Avec ou sans : guidage échographique
                      exérèse, ligature et/ou sclérose de veine variqueuse
                      ligature de veine perforante";;;;;;;
;;"anesthésie";4;0;;;;1;"ADA"
"EJSA003";;"Ligature d'une veine profonde du membre inférieur, par abord direct";1;0;106,94;;;1;"ADC"
"[A, J, K, 7]";;"Ligature d'une veine perforante du membre inférieur, par abord direct ";;;;;;;
;;"Indication : traumatisme, risque d'embolie septique, anévrisme rompu";;;;;;;
;;"anesthésie";4;0;69,28;;;1;"ADA"
;;"(GELE001)";;;;;;;
"EJSC001";;"Ligature de veine perforante du membre inférieur, par vidéochirurgie";1;0;"Non pris en charge";;;1;"ADC"
;;"anesthésie";4;0;;;;1;"ADA"
"EJSA001";;"Ligature de plusieurs veines perforantes jambières, par abord direct";1;0;133,67;;;1;"ADC"
"[A, 7]";;"Indication : ligature de perforantes en zone cutanée saine";;;;;;;
;;"anesthésie";4;0;75,14;;;1;"ADA"
;;"(GELE001)";;;;;;;
;;;;;;;;;
"04.04.03.09";;"Autres actes thérapeutiques sur les veines des membres";;;;;;;
;;;;;;;;;
"EQBP001";;"Contention veineuse fixe prenant au moins 2 segments de membre, par pose de bande collante ou cohésive";1;0;12,17;;;1;"ATM"
;;"À l'exclusion de : contention veineuse peropératoire ou postopératoire";;;;;;;
;;"Facturation : maximum 2 par semaines";;;;;;;
;;;;;;;;;
"04.04.04";;"Actes thérapeutiques sur la veine cave inférieure";;;;;;;
;;;;;;;;;
;;;;;;;;;
"04.04.04.01";;"Suture de plaie de la veine cave inférieure";;;;;;;
;;;;;;;;;
"DHCA001";;"Suture de plaie de la veine cave inférieure rétrohépatique ou suprahépatique, ou des veines hépatiques, par laparotomie";1;0;765,96;;;1;"ADC"
"[A, F, J, K, P, S, U]";;"anesthésie";4;0;438,56;;;1;"ADA"
;;"(GELE001)";;;;;;;
;;;;;;;;;
"04.04.04.02";;"Dilatation intraluminale de la veine cave inférieure";;;;;;;
;;;;;;;;;
"DHAF002";;"Dilatation intraluminale de la veine cave inférieure sans pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[F, P, S, U]";;"(YYYY200, YYYY300, ZZLP008)";;;;;;;
"DHAF004";;"Dilatation intraluminale de la veine cave inférieure avec pose d'endoprothèse, par voie veineuse transcutanée";1;0;313,50;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY200, YYYY300)";;;;;;;
;;;;;;;;;
"04.04.04.03";;"Désobstruction de la veine cave inférieure";;;;;;;
;;;;;;;;;
"DHNF004";;"Fibrinolyse in situ de la veine cave inférieure, par voie veineuse transcutanée";1;0;209,00;;;1;"ATM"
"[A, F, P, S, U, 7]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
;;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY180, YYYY300)";;;;;;;
"DHNF003";;"Thrombolyse mécanique ou thromboaspiration de la veine cave inférieure, par voie veineuse transcutanée";1;0;209,00;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY180, YYYY300)";;;;;;;
"DHPF003";;"Recanalisation de la veine cave inférieure sans pose d'endoprothèse, par voie veineuse transcutanée";1;0;355,30;;;1;"ATM"
"[A, F, P, S, U, 7]";;"anesthésie";4;0;94,05;;;1;"ADA"
;;"(YYYY180, YYYY300)";;;;;;;
;;;;;;;;;
"04.04.04.04";;"Résection de la veine cave inférieure";;;;;;;
;;"Comprend : résection de la veine cave inférieure pour exérèse de tumeur";;;;;;;
;;;;;;;;;
"DHFA002";;"Résection de la veine cave inférieure infrarénale sans reconstruction, par laparotomie";1;0;499,54;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;240,39;;;1;"ADA"
;;"(GELE001, ZZHA001)";;;;;;;
"DHFA007";;"Résection de la veine cave inférieure infrarénale avec reconstruction, par laparotomie";1;0;782,00;;;1;"ADC"
"[A, F, J, K, P, S, U, 7]";;"anesthésie";4;0;370,38;;;1;"ADA"
