"";"Électromyographie par électrode de surface, sans enregistrement vidéo";"Non pris en charge"
"";"Pose d'endoprothèse couverte bifurquée aortobisiliaque, par voie artérielle transcutanée";"522,50"
"";"anesthésie";"229,90"
"";"Pose d'endoprothèse couverte dans l'artère iliaque commune et/ou l'artère iliaque externe, par voie artérielle transcutanée";"397,10"
"";"anesthésie";"146,30"
"";"Pose d'endoprothèse couverte dans l'artère iliaque commune et/ou l'artère iliaque externe avec embolisation de l'artère iliaque interne, par voie artérielle transcutanée";"574,75"
"";"anesthésie";"193,33"
"";"Fermeture de fistule aortodigestive ou iliodigestive avec pontage aortoaortique abdominal, par laparotomie";"1319,35"
"";"anesthésie";"578,14"
"";"Fermeture de fistule aortodigestive ou iliodigestive avec pontage non anatomique de l'aorte abdominale, par abord direct";"1319,35"
"";"anesthésie";"578,14"
"";"Fermeture de fistule artérioveineuse aortocave, iliocave ou ilio-iliaque avec pontage artériel, par laparotomie";"1161,60"
"";"anesthésie";"462,23"
"";"Hémostase secondaire à un acte sur l'aorte abdominale ou ses branches, par laparotomie";"316,14"
"";"anesthésie";"262,38"
"";"Prélèvement de greffe artérielle aorto-iliaque par laparotomie, sur un sujet en état de mort encéphalique";""
"";"anesthésie";""
"";"Suture de plaie d'artère digestive, par cœlioscopie";"530,40"
"";"anesthésie";"331,46"
"";"Suture de plaie d'artère digestive, par laparotomie";"501,60"
"";"anesthésie";"307,46"
"";"Dilatation intraluminale d'une artère digestive sans pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Dilatation intraluminale d'une artère digestive avec pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Fibrinolyse in situ d'une artère digestive, par voie artérielle transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Recanalisation d'une artère digestive sans pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Recanalisation d'une artère digestive avec pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Thromboaspiration d'artère digestive, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Thrombectomie d'artère digestive, par laparotomie";"509,17"
"";"anesthésie";"316,17"
"";"Thromboendartériectomie de l'artère mésentérique supérieure et/ou du tronc cœliaque ou de ses branches, par thoraco-phréno-laparotomie";"1025,60"
"";"anesthésie";"595,41"
"";"Remplacement d'une artère digestive, par laparotomie";"721,96"
"";"anesthésie";"342,16"
"";"Réimplantation d'une artère digestive dans l'aorte, par laparotomie";"721,55"
"";"anesthésie";"350,59"
"";"Pose d'endoprothèse couverte dans une artère digestive, par voie artérielle transcutanée";"355,30"
"";"Pose d'endoprothèse couverte dans plusieurs artères digestives, par voie artérielle transcutanée";"532,95"
"";"Oblitération suprasélective d'un anévrisme sacculaire d'une artère digestive, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Oblitération suprasélective de plusieurs anévrismes sacculaires d'artère digestive, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation sélective ou hypersélective d'une artère digestive, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation sélective et/ou hypersélective de plusieurs artères digestives, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation suprasélective d'une artère digestive, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation suprasélective de plusieurs artères digestives, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Ligature d'une artère digestive, par laparotomie";"279,12"
"";"anesthésie";"180,27"
"";"Injection intraartérielle hépatique in situ sélective ou hypersélective d'agent pharmacologique anticancéreux non radio-isotopique sans embolisation de particules, par voie artérielle transcutanée";"153,60"
"";"Injection intraartérielle hépatique in situ sélective ou hypersélective d'agent pharmacologique anticancéreux non radio-isotopique avec embolisation de particules, par voie artérielle transcutanée";"153,60"
"";"Injection intraartérielle hépatique in situ suprasélective d'agent pharmacologique anticancéreux non radio-isotopique sans embolisation de particules, par voie artérielle transcutanée";"153,60"
"";"Injection intraartérielle hépatique in situ suprasélective d'agent pharmacologique anticancéreux non radio-isotopique avec embolisation de particules, par voie artérielle transcutanée";"153,60"
"";"Activité 1 : cathétérisme de l'artère hépatique par voie artérielle transcutanée";"153,60"
"";"Activité 2 : préparation et administration du radio-isotope";"42,87"
"";"Activité 1 : cathétérisme de l'artère hépatique par voie artérielle transcutanée";"153,60"
"";"Activité 2 : préparation et administration du radio-isotope";"42,87"
"";"Libération d'une artère digestive, par laparotomie";"471,16"
"";"anesthésie";"263,47"
"";"Résection-anastomose d'une artère digestive, par laparotomie";"683,30"
"";"anesthésie";"392,74"
"";"Pose d'un cathéter dans une artère digestive, par laparotomie";"246,22"
"";"anesthésie";"126,01"
"";"Suture de plaie de l'artère rénale, par laparotomie ou par lombotomie";"510,23"
"";"anesthésie";"342,65"
"";"Dilatation intraluminale sélective ou hypersélective de l'artère rénale sans pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Dilatation intraluminale sélective ou hypersélective de l'artère rénale avec pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Dilatation intraluminale suprasélective de l'artère rénale sans pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Dilatation intraluminale suprasélective de l'artère rénale avec pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Angioplastie de l'artère rénale, par laparotomie ou par lombotomie";"687,83"
"";"anesthésie";"367,08"
"";"Fibrinolyse in situ sélective ou hypersélective de l'artère rénale, par voie artérielle transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Fibrinolyse in situ suprasélective de l'artère rénale, par voie artérielle transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Recanalisation de l'artère rénale sans pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Recanalisation de l'artère rénale avec pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Thromboaspiration de l'artère rénale, par voie artérielle transcutanée";"313,50"
"";"anesthésie";"94,93"
"";"Thrombectomie de l'artère rénale, par laparotomie ou par lombotomie";"592,65"
"";"anesthésie";"342,19"
"";"Thromboendartériectomie de l'artère rénale par artériotomie rénale, par laparotomie ou par lombotomie";"710,03"
"";"anesthésie";"356,45"
"";"Thromboendartériectomie des artères rénales par aortotomie, par laparotomie";"899,54"
"";"anesthésie";"425,99"
"";"Remplacement de l'artère rénale, par laparotomie ou par lombotomie";"733,06"
"";"anesthésie";"364,88"
"";"Réimplantation de l'artère rénale dans l'aorte, par laparotomie ou par lombotomie";"717,85"
"";"anesthésie";"369,28"
"";"Revascularisation de l'artère rénale à partir d'une artère digestive, par laparotomie ou par lombotomie";"730,19"
"";"anesthésie";"387,24"
"";"Revascularisation des branches de l'artère rénale sur le rein in situ, par laparotomie ou par lombotomie";"878,64"
"";"anesthésie";"464,96"
"";"Réparation de l'artère rénale et/ou de ses branches sur le rein ex situ avec autotransplantation du rein, par laparotomie ou par lombotomie";"1051,44"
"";"anesthésie";"446,54"
"";"Oblitération sélective ou hypersélective d'un anévrisme sacculaire de l'artère rénale, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Oblitération suprasélective d'un anévrisme sacculaire de l'artère rénale, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation sélective ou hypersélective de l'artère rénale, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation suprasélective de l'artère rénale, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Injection intraartérielle rénale in situ sélective ou hypersélective d'agent pharmacologique anticancéreux sans embolisation de particules, par voie artérielle transcutanée";"153,60"
"";"Injection intraartérielle rénale in situ sélective ou hypersélective d'agent pharmacologique anticancéreux avec embolisation de particules, par voie artérielle transcutanée";"153,60"
"";"Injection intraartérielle rénale in situ suprasélective d'agent pharmacologique anticancéreux sans embolisation de particules, par voie artérielle transcutanée";"153,60"
"";"Injection intraartérielle rénale in situ suprasélective d'agent pharmacologique anticancéreux avec embolisation de particules, par voie artérielle transcutanée";"153,60"
"";"Embolisation d'une fistule artérioveineuse rénale, par voie vasculaire transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Pose d'endoprothèse couverte dans l'artère rénale, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Résection-anastomose de l'artère rénale, par laparotomie ou par lombotomie";"672,21"
"";"anesthésie";"365,62"
"";"Dilatation intraluminale de l'artère iliaque interne sans pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Dilatation intraluminale de l'artère iliaque interne avec pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Recanalisation de l'artère iliaque interne sans pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Recanalisation de l'artère iliaque interne avec pose d'endoprothèse, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Oblitération sélective ou hypersélective d'un anévrisme sacculaire de l'artère iliaque interne ou d'une branche extradigestive de l'aorte abdominale, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Oblitération suprasélective d'un anévrisme sacculaire de l'artère iliaque interne ou d'une branche extradigestive de l'aorte abdominale, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation sélective ou hypersélective de l'artère iliaque interne ou d'une branche extradigestive de l'aorte abdominale, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation sélective et/ou hypersélective de plusieurs branches de l'artère iliaque interne ou de plusieurs branches extradigestives de l'aorte abdominale, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation suprasélective de branche de l'artère iliaque interne ou de branche extradigestive de l'aorte abdominale, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Ligature des artères iliaques internes, par laparotomie";"321,23"
"";"anesthésie";"209,92"
"";"Anastomose entre l'artère ou la veine dorsale du pénis et l'artère épigastrique inférieure, par abord direct";"350,14"
"";"anesthésie";"150,66"
"";"Anastomose entre l'artère ou la veine dorsale du pénis et l'artère fémorale, par abord direct";"309,84"
"";"anesthésie";"129,76"
"";"Artérialisation des corps caverneux du pénis, par abord direct";"309,84"
"";"anesthésie";"129,76"
"";"Réimplantation ou pontage de l'artère iliaque interne ou d'une de ses branches, par laparotomie";"681,66"
"";"anesthésie";"267,01"
"";"Pose d'endoprothèse couverte dans l'artère iliaque interne ou une branche extradigestive de l'aorte abdominale, par voie artérielle transcutanée";"397,10"
"";"anesthésie";"146,30"
"";"Suture de plaie d'artère du membre inférieur, par abord direct";"148,88"
"";"anesthésie";"105,21"
"";"Dilatation intraluminale d'une artère du membre inférieur sans pose d'endoprothèse, par voie artérielle transcutanée";"334,40"
"";"anesthésie";"94,05"
"";"Dilatation intraluminale d'une artère du membre inférieur avec pose d'endoprothèse, par voie artérielle transcutanée";"334,40"
"";"anesthésie";"94,05"
"";"Dilatation intraluminale d'une artère du membre inférieur avec dilatation intraluminale de l'artère iliaque commune et/ou de l'artère iliaque externe homolatérale sans pose d'endoprothèse, par voie artérielle transcutanée";"491,15"
"";"anesthésie";"141,08"
"";"Dilatation intraluminale d'une artère du membre inférieur avec dilatation intraluminale de l'artère iliaque commune et/ou de l'artère iliaque externe homolatérale avec pose d'endoprothèse, par voie artérielle transcutanée";"491,15"
"";"anesthésie";"141,08"
"";"Dilatation intraluminale de plusieurs artères du membre inférieur sans pose d'endoprothèse, par voie artérielle transcutanée";"334,40"
"";"anesthésie";"94,05"
"";"Dilatation intraluminale de plusieurs artères du membre inférieur avec pose d'endoprothèse, par voie artérielle transcutanée";"501,60"
"";"anesthésie";"141,08"
"";"Fibrinolyse in situ sélective ou hypersélective d'une artère ou d'un pontage artériel du membre inférieur, par voie artérielle transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Fibrinolyse in situ suprasélective d'une artère ou d'un pontage artériel du membre inférieur, par voie artérielle transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Recanalisation d'une artère du membre inférieur sans pose d'endoprothèse, par voie artérielle transcutanée";"334,40"
"";"anesthésie";"94,05"
"";"Recanalisation d'une artère du membre inférieur avec pose d'endoprothèse, par voie artérielle transcutanée";"334,40"
"";"anesthésie";"94,05"
"";"Thromboaspiration d'artère ou de pontage artériel du membre inférieur, par voie artérielle transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Thrombectomie d'artère du membre inférieur, par abord inguinofémoral";"220,19"
"";"anesthésie";"113,55"
"";"Thrombectomie d'artère du membre inférieur, par abord poplité";"244,45"
"";"anesthésie";"114,29"
"";"Thromboendartériectomie de l'artère fémorale et/ou de ses branches, par abord direct";"313,50"
"";"anesthésie";"176,92"
"";"Thromboendartériectomie de l'artère poplitée, par abord direct";"313,50"
"";"anesthésie";"172,51"
"";"Pontage artériel subclaviofémoral ou axillofémoral, par abord direct";"522,50"
"";"anesthésie";"282,40"
"";"Pontage artériel subclaviofémoral ou axillobifémoral, par abord direct";"603,12"
"";"anesthésie";"319,43"
"";"Pontage artériel iliofémoral homolatéral, par abord direct";"585,55"
"";"anesthésie";"290,88"
"";"Pontage artériel iliofémoral pour complication anastomotique sur prothèse de la bifurcation fémorale, par abord direct";"583,48"
"";"anesthésie";"292,62"
"";"Pontage artériel fémorofémoral homolatéral, par abord direct";"313,50"
"";"anesthésie";"165,92"
"";"Pontage artériel fémoropoplité au-dessus de l'interligne articulaire du genou, par abord direct";"313,50"
"";"anesthésie";"167,75"
"";"Pontage artériel fémoropoplité au-dessous de l'interligne articulaire du genou, par abord direct";"342,62"
"";"anesthésie";"186,44"
"";"Pontage artériel fémorotibial ou fémoropéronier sans collier veineux, par abord direct";"451,71"
"";"anesthésie";"213,15"
"";"Pontage artériel fémorotibial ou fémoropéronier avec collier veineux, par abord direct";"516,28"
"";"anesthésie";"224,52"
"";"Pontage d'une artère du pied, par abord direct";"591,94"
"";"anesthésie";"207,28"
"";"Pontage multiple étagé [séquentiel] ou bifurqué des artères des membres inférieurs, par abord direct";"655,42"
"";"anesthésie";"249,08"
"";"Ablation d'une prothèse artérielle du membre inférieur sans revascularisation, par abord direct";"234,42"
"";"anesthésie";"165,50"
"";"Ablation d'une prothèse artérielle du membre inférieur avec revascularisation, par abord direct";"577,85"
"";"anesthésie";"264,70"
"";"Embolisation sélective ou hypersélective d'une artère du membre inférieur, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation hypersélective de plusieurs artères du membre inférieur, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation suprasélective d'une artère du membre inférieur, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Oblitération d'un anévrisme sacculaire artériel du membre inférieur, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Oblitération de plusieurs anévrismes sacculaires artériels du membre inférieur, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Ligature d'une artère de la cuisse ou de la jambe, par abord direct";"62,70"
"";"anesthésie";"91,27"
"";"Sclérose d'une tumeur ou d'une malformation vasculaire du membre inférieur, par injection transcutanée intralésionnelle d'agent pharmacologique avec guidage radiologique";"104,50"
"";"Injection intraartérielle in situ sélective ou hypersélective d'agent pharmacologique anticancéreux au membre inférieur, par voie artérielle transcutanée";"153,60"
"";"Injection intraartérielle in situ suprasélective d'agent pharmacologique anticancéreux au membre inférieur, par voie artérielle transcutanée";"153,60"
"";"Pose d'endoprothèse couverte dans une artère du membre inférieur, par voie artérielle transcutanée";"334,40"
"";"anesthésie";"94,05"
"";"Angioplastie d'élargissement d'un pontage artériel du membre inférieur, par abord direct";"313,50"
"";"anesthésie";"172,88"
"";"Résection-anastomose d'une artère du membre inférieur, par abord direct";"313,50"
"";"anesthésie";"155,65"
"";"Résection d'un kyste adventiciel d'une artère du membre inférieur, par abord direct";"313,50"
"";"anesthésie";"159,32"
"";"Libération d'une artère et/ou d'une veine poplitée piégée, par abord direct";"194,53"
"";"anesthésie";"114,55"
"";"Remplacement ou mise à plat d'une artère du membre inférieur, par abord direct";"355,30"
"";"anesthésie";"181,74"
"";"Dilatation intraluminale d'un pontage artériel non anatomique des membres sans pose d'endoprothèse, par voie artérielle transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Dilatation intraluminale d'un pontage artériel non anatomique des membres avec pose d'endoprothèse, par voie artérielle transcutanée";"313,50"
"";"Fibrinolyse in situ d'un pontage artériel non anatomique des membres, par voie artérielle transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Thrombectomie ou embolectomie mécanique d'un pontage artériel non anatomique des membres, par voie artérielle transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Thrombectomie de pontage artériel d'un membre sans réfection d'anastomose, par abord direct";"229,24"
"";"anesthésie";"138,84"
"";"Thrombectomie de pontage artériel d'un membre avec réfection d'anastomose sans prolongement du pontage, par abord direct";"418,00"
"";"anesthésie";"212,43"
"";"Thrombectomie de pontage artériel d'un membre avec réfection d'anastomose et prolongement du pontage, par abord direct";"510,71"
"";"anesthésie";"232,96"
"";"Changement d'un pontage artériel d'un membre avec thrombectomie de l'axe artériel, par abord direct";"498,78"
"";"anesthésie";"241,02"
"";"Pose d'un cathéter artériel ombilical";""
"";"Hémostase secondaire à un acte sur les vaisseaux des membres, par abord direct";"169,44"
"";"anesthésie";"136,72"
"";"Prélèvement de greffe artérielle des membres, sur un sujet en état de mort encéphalique";""
"";"anesthésie";""
"";"Suture de plaie de veine profonde du membre supérieur ou du cou, par abord direct";"138,33"
"";"anesthésie";"78,08"
"";"Suture de plaie de la veine brachiocéphalique ou de la veine cave supérieure, par thoracotomie";"619,15"
"";"anesthésie";"343,99"
"";"Dilatation intraluminale d'une veine du membre supérieur sans pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"Dilatation intraluminale d'une veine du membre supérieur avec pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Fibrinolyse in situ de la veine subclavière et/ou de la veine brachiocéphalique, par voie veineuse transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Recanalisation d'une veine du membre supérieur sans pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"Recanalisation d'une veine du membre supérieur avec pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Pose d'endoprothèse couverte dans une veine du membre supérieur, par voie veineuse transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Thromboaspiration de la veine subclavière et/ou de la veine brachiocéphalique, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Résection ou ligature d'une veine profonde du membre supérieur ou du cou, par abord direct";"103,37"
"";"anesthésie";"71,85"
"";"Résection de la veine brachiocéphalique, par thoracotomie";"530,74"
"";"anesthésie";"336,66"
"";"Réimplantation de la veine jugulaire interne dans la veine axillaire, par abord direct";"522,50"
"";"anesthésie";"274,70"
"";"Pontage veineux juguloaxillaire, par cervicotomie";"522,50"
"";"anesthésie";"258,58"
"";"Pontage de la veine brachiocéphalique ou de la veine cave supérieure, par thoracotomie";"809,44"
"";"anesthésie";"460,15"
"";"Dilatation intraluminale de la veine cave supérieure sans pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"Dilatation intraluminale de la veine cave supérieure avec pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Fibrinolyse in situ de la veine cave supérieure, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Recanalisation de la veine cave supérieure sans pose d'endoprothèse, par voie veineuse transcutanée";"Non pris en charge"
"";"Recanalisation de la veine cave supérieure avec pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Thrombolyse mécanique ou thromboaspiration de la veine cave supérieure, par voie veineuse transcutanée";"261,25"
"";"anesthésie";"94,05"
"";"Désobstruction de la veine cave supérieure, par thoracotomie";"599,41"
"";"anesthésie";"364,88"
"";"Suture de plaie de veine profonde de la jambe et/ou de la cuisse, par abord direct";"179,72"
"";"anesthésie";"91,64"
"";"Suture de plaie du tronc ou des branches viscérales de la veine iliaque et/ou de la veine cave inférieure infrahépatique, par laparotomie";"363,42"
"";"anesthésie";"286,21"
"";"Dilatation intraluminale de la veine iliaque externe et/ou de la veine iliaque commune sans pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"Dilatation intraluminale de la veine iliaque externe et/ou de la veine iliaque commune avec pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Fibrinolyse in situ d'une veine du membre inférieur, par injection transcutanée dans une veine du dos du pied";"209,00"
"";"anesthésie";"94,05"
"";"Fibrinolyse in situ de la veine iliaque externe et/ou de la veine iliaque commune, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Fibrinolyse in situ fémoro-ilio-cave, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Fibrinolyse in situ fémoro-ilio-cave avec oblitération partielle de la veine cave inférieure [pose d'un filtre cave], par voie veineuse transcutanée";"292,60"
"";"anesthésie";"135,85"
"";"Recanalisation de la veine iliaque externe et/ou de la veine iliaque commune avec pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"Thromboaspiration de la veine iliaque externe et/ou de la veine iliaque commune, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Thrombectomie veineuse fémoro-iliaque, par abord fémoral";"246,51"
"";"anesthésie";"89,73"
"";"Thrombectomie des veines iliaques et/ou de la veine cave inférieure, par laparotomie";"536,34"
"";"anesthésie";"302,90"
"";"Pontage veineux poplité-fémoral, par abord direct";"344,27"
"";"anesthésie";"172,88"
"";"Pontage veineux fémoro-iliaque homolatéral, fémorocave ou fémororénal, par abord direct";"552,13"
"";"anesthésie";"232,92"
"";"Pontage veineux croisé fémorofémoral ou fémoro-iliaque, par abord direct";"418,00"
"";"anesthésie";"190,81"
"";"Pontage veineux ilio-iliaque ou iliocave, par laparotomie";"555,42"
"";"anesthésie";"229,90"
"";"Valvuloplastie de veine superficielle du membre inférieur, par abord direct";"Non pris en charge"
"";"anesthésie";""
"";"Valvuloplastie de veine profonde du membre inférieur, par abord direct";"Non pris en charge"
"";"anesthésie";""
"";"Interposition d'un segment veineux valvulé sur la veine poplitée ou la veine fémorale, par abord direct";"366,89"
"";"anesthésie";"146,30"
"";"Réimplantation de la veine fémorale dans la veine grande saphène ou dans la veine profonde de la cuisse [veine fémorale profonde], par abord direct";"343,04"
"";"anesthésie";"146,30"
"";"Résection de la veine fémorale et/ou de la veine iliaque sans reconstruction, par abord direct";"446,49"
"";"anesthésie";"90,83"
"";"Résection de la veine fémorale et/ou de la veine iliaque avec reconstruction, par abord direct";"558,93"
"";"anesthésie";"146,30"
"";"Décompression de la veine iliaque, par laparotomie";"432,10"
"";"anesthésie";"80,64"
"";"Exérèse de la crosse de la grande veine saphène, par abord direct";"85,14"
"";"anesthésie";"61,59"
"";"Exérèse de la crosse de la petite veine saphène, par abord direct";"88,43"
"";"anesthésie";"71,48"
"";"Exérèse secondaire de la crosse de la grande veine saphène ou de la petite veine saphène, par abord direct";"235,06"
"";"anesthésie";"76,97"
"";"Exérèse de la grande veine saphène sans exérèse de la crosse, par abords directs multiples sous anesthésie locale";"94,05"
"";"Exérèse de la petite veine saphène sans exérèse de la crosse, par abords directs multiples sous anesthésie locale";"94,05"
"";"Extraction [Stripping] de la grande veine saphène, par abord direct";"167,20"
"";"anesthésie";"69,27"
"";"Extraction [Stripping] de la petite veine saphène, par abord direct";"167,20"
"";"anesthésie";"74,77"
"";"Extraction [Stripping] de la grande veine saphène et de la petite veine saphène, par abord direct";"194,00"
"";"anesthésie";"78,81"
"";"Séance d'exérèse de segment de varice ou de veine perforante du membre inférieur, par voie transcutanée sous anesthésie locale";"66,99"
"";"Exérèses multiples de branches de la grande veine saphène et/ou de la petite veine saphène sous anesthésie générale ou locorégionale, par abord direct";"122,57"
"";"anesthésie";"71,48"
"";"Séance de sclérose de varice du membre inférieur, par injection intraveineuse transcutanée sans guidage";"18,93"
"";"Séance de sclérose de veine du membre inférieur, par injection intraveineuse transcutanée avec guidage échographique";"37,46"
"";"Occlusion de veine saphène par laser, par voie veineuse transcutanée";"Non pris en charge"
"";"anesthésie";""
"";"Occlusion de la grande veine saphène par radiofréquence, par voie veineuse transcutanée";"Non pris en charge"
"";"anesthésie";""
"";"Ligature d'une veine profonde du membre inférieur, par abord direct";"106,94"
"";"anesthésie";"69,28"
"";"Ligature de veine perforante du membre inférieur, par vidéochirurgie";"Non pris en charge"
"";"anesthésie";""
"";"Ligature de plusieurs veines perforantes jambières, par abord direct";"133,67"
"";"anesthésie";"75,14"
"";"Contention veineuse fixe prenant au moins 2 segments de membre, par pose de bande collante ou cohésive";"12,17"
"";"Suture de plaie de la veine cave inférieure rétrohépatique ou suprahépatique, ou des veines hépatiques, par laparotomie";"765,96"
"";"anesthésie";"438,56"
"";"Dilatation intraluminale de la veine cave inférieure sans pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"Dilatation intraluminale de la veine cave inférieure avec pose d'endoprothèse, par voie veineuse transcutanée";"313,50"
"";"anesthésie";"94,05"
"";"Fibrinolyse in situ de la veine cave inférieure, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Thrombolyse mécanique ou thromboaspiration de la veine cave inférieure, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Recanalisation de la veine cave inférieure sans pose d'endoprothèse, par voie veineuse transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Résection de la veine cave inférieure infrarénale sans reconstruction, par laparotomie";"499,54"
"";"anesthésie";"240,39"
"";"Résection de la veine cave inférieure infrarénale avec reconstruction, par laparotomie";"782,00"
"";"anesthésie";"370,38"
"";"Résection de la veine cave inférieure suprarénale infrahépatique sans reconstruction, par laparotomie";"628,67"
"";"anesthésie";"305,63"
"";"Résection de la veine cave inférieure suprarénale infrahépatique avec reconstruction, par laparotomie";"950,60"
"";"anesthésie";"444,06"
"";"Résection de la veine cave inférieure suprarénale rétrohépatique et/ou suprahépatique sans reconstruction, par laparotomie";"714,60"
"";"anesthésie";"342,65"
"";"Résection de la veine cave inférieure suprarénale rétrohépatique et/ou suprahépatique avec reconstruction, par laparotomie";"1062,86"
"";"anesthésie";"492,81"
"";"Oblitération partielle temporaire de la veine cave inférieure, par voie veineuse transcutanée";"167,20"
"";"Oblitération partielle définitive de la veine cave inférieure, par voie veineuse transcutanée";"167,20"
"";"Oblitération partielle de la veine cave inférieure, par laparotomie";"235,53"
"";"anesthésie";"160,48"
"";"Ligature de la veine cave inférieure et/ou de l'une de ses branches viscérales, par laparotomie";"267,20"
"";"anesthésie";"175,87"
"";"Ablation d'un filtre temporaire de la veine cave inférieure, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Ablation d'un filtre de la veine cave inférieure sans reconstruction de la veine, par laparotomie";"474,86"
"";"anesthésie";"162,67"
"";"Ablation d'un filtre de la veine cave inférieure avec reconstruction de la veine, par laparotomie";"806,26"
"";"anesthésie";"230,72"
"";"Anastomose saphénocaverneuse";"313,50"
"";"anesthésie";"147,22"
"";"Résection ou ligature de la veine testiculaire, par cœlioscopie";"196,00"
"";"anesthésie";"114,47"
