"A"	"ALIMENTARY TRACT AND METABOLISM"	"VOIES DIGESTIVES ET METABOLISME"
"C03AA08"	"METHYCLOTHIAZIDE"	"METHYCLOTHIAZIDE"
"C03AA09"	"CYCLOTHIAZIDE"	"CYCLOTHIAZIDE"
"C03AA13"	"MEBUTIZIDE"	"MEBUTIZIDE"
"C03AB"	"THIAZIDES AND POTASSIUM IN COMBINATION"	"THIAZIDIQUES ET POTASSIUM EN ASSOCIATION"
"C03AB01"	"BENDROFLUMETHIAZIDE AND POTASSIUM"	"BENDROFLUMETHIAZIDE ET POTASSIUM"
"C03AB02"	"HYDROFLUMETHIAZIDE AND POTASSIUM"	"HYDROFLUMETHIAZIDE ET POTASSIUM"
"C03AB03"	"HYDROCHLOROTHIAZIDE AND POTASSIUM"	"HYDROCHLOROTHIAZIDE ET POTASSIUM"
"C03AB04"	"CHLOROTHIAZIDE AND POTASSIUM"	"CHLOROTHIAZIDE ET POTASSIUM"
"C03AB05"	"POLYTHIAZIDE AND POTASSIUM"	"POLYTHIAZIDE ET POTASSIUM"
"C03AB06"	"TRICHLORMETHIAZIDE AND POTASSIUM"	"TRICHLORMETHIAZIDE ET POTASSIUM"
"C03AB07"	"CYCLOPENTHIAZIDE AND POTASSIUM"	"CYCLOPENTHIAZIDE ET POTASSIUM"
"C03AB08"	"METHYCLOTHIAZIDE AND POTASSIUM"	"METHYCLOTHIAZIDE ET POTASSIUM"
"C03AB09"	"CYCLOTHIAZIDE AND POTASSIUM"	"CYCLOTHIAZIDE ET POTASSIUM"
"C03AH"	"THIAZIDES, COMBINATIONS WITH PSYCHOLEPTICS AND/OR ANALGESICS"	"THIAZIDIQUES EN ASSOCIATION AVEC PSYCHOLEPTIQUES ET/OU ANALGESIQUES"
"C03AH01"	"CHLOROTHIAZIDE, COMBINATIONS"	"CHLOROTHIAZIDE EN ASSOCIATION"
"C03AH02"	"HYDROFLUMETHIAZIDE, COMBINATIONS"	"HYDROFLUMETHIAZIDE EN ASSOCIATION"
"C03AX"	"THIAZIDES, COMBINATIONS WITH OTHER DRUGS"	"THIAZIDIQUES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES"
"C03AX01"	"HYDROCHLOROTHIAZIDE, COMBINATIONS"	"HYDROCHLOROTHIAZIDE EN ASSOCIATION"
"C03B"	"LOW-CEILING DIURETICS, EXCL. THIAZIDES"	"DIURETIQUES ""LOW-CEILING"", THIAZIDIQUES EXCLUS"
"C03BA"	"SULFONAMIDES, PLAIN"	"SULFAMIDES NON ASSOCIES"
"C03BA02"	"QUINETHAZONE"	"QUINETHAZONE"
"C03BA03"	"CLOPAMIDE"	"CLOPAMIDE"
"C03BA04"	"CHLORTALIDONE"	"CHLORTALIDONE"
"C03BA05"	"MEFRUSIDE"	"MEFRUSIDE"
"C03BA07"	"CLOFENAMIDE"	"CLOFENAMIDE"
"C03BA08"	"METOLAZONE"	"METOLAZONE"
"C03BA09"	"METICRANE"	"METICRANE"
"C03BA10"	"XIPAMIDE"	"XIPAMIDE"
"C03BA11"	"INDAPAMIDE"	"INDAPAMIDE"
"C03BA12"	"CLOREXOLONE"	"CLOREXOLONE"
"C03BA13"	"FENQUIZONE"	"FENQUIZONE"
"C03BA82"	"CLOREXOLONE, COMB. WITH PSYCHOLEPTICS"	"CLOREXOLONE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES"
"C03BB"	"SULFONAMIDES AND POTASSIUM IN COMBINATION"	"SULFAMIDES ET POTASSIUM EN ASSOCIATION"
"C03BB02"	"QUINETHAZONE AND POTASSIUM"	"QUINETHAZONE ET POTASSIUM"
"C03BB03"	"CLOPAMIDE AND POTASSIUM"	"CLOPAMIDE ET POTASSIUM"
"C03BB04"	"CHLORTALIDONE AND POTASSIUM"	"CHLORTALIDONE ET POTASSIUM"
"C03BB05"	"MEFRUSIDE AND POTASSIUM"	"MEFRUSIDE ET POTASSIUM"
"C03BB07"	"CLOFENAMIDE AND POTASSIUM"	"CLOFENAMIDE ET POTASSIUM"
"C03BC"	"MERCURIAL DIURETICS"	"DIURETIQUES MERCURIELS"
"C03BC01"	"MERSALYL"	"MERSALYL"
"C03BD"	"XANTHINE DERIVATIVES"	"DERIVES XANTHIQUES"
"C03BD01"	"THEOBROMINE"	"THEOBROMINE"
"C03BK"	"SULFONAMIDES, COMBINATIONS WITH OTHER DRUGS"	"SULFAMIDES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES"
"C03BX"	"OTHER LOW-CEILING DIURETICS"	"AUTRES DIURETIQUES ""LOW-CEILING"""
"C03BX03"	"CICLETANINE"	"CICLETANINE"
"C03C"	"HIGH-CEILING DIURETICS"	"DIURETIQUES DE L'ANSE"
"C03CA"	"SULFONAMIDES, PLAIN"	"SULFAMIDE NON ASSOCIE"
"C03CA01"	"FUROSEMIDE"	"FUROSEMIDE"
"C03CA02"	"BUMETANIDE"	"BUMETANIDE"
"C03CA03"	"PIRETANIDE"	"PIRETANIDE"
"C03CA04"	"TORASEMIDE"	"TORASEMIDE"
"C03CB"	"SULFONAMIDES AND POTASSIUM IN COMBINATION"	"SULFAMIDES ET POTASSIUM EN ASSOCIATION"
"C03CB01"	"FUROSEMIDE AND POTASSIUM"	"FUROSEMIDE ET POTASSIUM"
"C03CB02"	"BUMETANIDE AND POTASSIUM"	"BUMETANIDE ET POTASSIUM"
"C03CC"	"ARYLOXYACETIC ACID DERIVATIVES"	"DERIVES DE L'ACIDE ARYLOXYACETIQUE"
"C03CC01"	"ETACRYNIC ACID"	"ETACRYNIQUE ACIDE"
"C03CC02"	"TIENILIC ACID"	"TIENILIQUE ACIDE"
"C03CD"	"PYRAZOLONE DERIVATIVES"	"DERIVES DE LA PYRAZOLONE"
"C03CD01"	"MUZOLIMINE"	"MUZOLIMINE"
"C03CX"	"OTHER HIGH-CEILING DIURETICS"	"AUTRES DIURETIQUES DE L'ANSE"
"C03CX01"	"ETOZOLIN"	"ETOZOLINE"
"C03D"	"POTASSIUM-SPARING AGENTS"	"DIURETIQUES EPARGNEURS POTASSIQUES"
"C03DA"	"ALDOSTERONE ANTAGONISTS"	"ANTAGONISTES DE L'ALDOSTERONE"
"C03DA01"	"SPIRONOLACTONE"	"SPIRONOLACTONE"
"C03DA02"	"POTASSIUM CANRENOATE"	"CANRENOATE DE POTASSIUM"
"C03DA03"	"CANRENONE"	"CANRENONE"
"C03DB"	"OTHER POTASSIUM-SPARING AGENTS"	"AUTRES DIURETIQUES EPARGNEURS POTASSIQUES"
"C03DB01"	"AMILORIDE"	"AMILORIDE"
"C03DB02"	"TRIAMTERENE"	"TRIAMTERENE"
"C03E"	"DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION"	"DIURETIQUES ET EPARGNEURS POTASSIQUES EN ASSOCIATION"
"C03EA"	"LOW-CEILING DIURETICS AND POTASSIUM-SPARING AGENTS"	"DIURETIQUES ""LOW-CEILING"" ET EPARGNEURS POTASSIQUES"
"C03EA01"	"HYDROCHLOROTHIAZIDE AND POTASSIUM-SPARING AGENTS"	"HYDROCHLOROTHIAZIDE ET EPARGNEURS POTASSIQUES"
"C03EA02"	"TRICHLORMETHIAZIDE AND POTASSIUM-SPARING AGENTS"	"TRICHLORMETHIAZIDE ET EPARGNEURS POTASSIQUES"
"C03EA03"	"EPITIZIDE AND POTASSIUM-SPARING AGENTS"	"EPITIZIDE ET EPARGNEURS POTASSIQUES"
"C03EA04"	"ALTIZIDE AND POTASSIUM-SPARING AGENTS"	"ALTIZIDE ET EPARGNEURS POTASSIQUES"
"C03EA05"	"MEBUTIZIDE AND POTASSIUM-SPARING AGENTS"	"MEBUTIZIDE ET EPARGNEURS POTASSIQUES"
"C03EA06"	"CHLORTALIDONE AND POTASSIUM-SPARING AGENTS"	"CHLORTALIDONE ET EPARGNEURS POTASSIQUES"
"C03EA07"	"CYCLOPENTHIAZIDE AND POTASSIUM-SPARING AGENTS"	"CYCLOPENTHIAZIDE ET EPARGNEURS POTASSIQUES"
"C03EA12"	"METOLAZONE AND POTASSIUM-SPARING AGENTS"	"METOLAZONE ET EPARGNEURS POTASSIQUES"
"C03EA13"	"BENDROFLUMETHIAZIDE AND POTASSIUM-SPARING AGENTS"	"BENDROFLUMETHIAZIDE ET EPARGNEURS POTASSIQUES"
"C03EA14"	"BUTIZIDE AND POTASSIUM-SPARING AGENTS"	"BUTIZIDE ET EPARGNEURS POTASSIQUES"
"C03EB"	"HIGH-CEILING DIURETICS AND POTASSIUM-SPARING AGENTS"	"DIURETIQUES DE L'ANSE ET EPARGNEURS POTASSIQUES"
"C03EB01"	"FUROSEMIDE AND POTASSIUM-SPARING AGENTS"	"FUROSEMIDE ET EPARGNEURS POTASSIQUES"
"C03EB02"	"BUMETANIDE AND POTASSIUM-SPARING AGENTS"	"BUMETANIDE ET EPARGNEURS POTASSIQUES"
"C04"	"PERIPHERAL VASODILATORS"	"VASODILATATEURS PERIPHERIQUES"
"C04A"	"PERIPHERAL VASODILATORS"	"VASODILATATEURS PERIPHERIQUES"
"C04AA"	"2-AMINO-1-PHENYLETHANOL DERIVATIVES"	"DERIVES DU 2-AMINO-1-PHENYLETHANOL"
"C04AA01"	"ISOXSUPRINE"	"ISOXSUPRINE"
"C04AA02"	"BUPHENINE"	"BUPHENINE"
"C04AA31"	"BAMETHAN"	"BAMETHAN"
"C04AB"	"IMIDAZOLINE DERIVATIVES"	"DERIVES DE L'IMIDAZOLINE"
"C04AB01"	"PHENTOLAMINE"	"PHENTOLAMINE"
"C04AB02"	"TOLAZOLINE"	"TOLAZOLINE"
"C04AC"	"NICOTINIC ACID AND DERIVATIVES"	"ACIDE NICOTINIQUE ET DERIVES"
"C04AC01"	"NICOTINIC ACID"	"NICOTINIQUE ACIDE"
"C04AC02"	"NICOTINYL ALCOHOL (PYRIDYLCARBINOL)"	"NICOTINIQUE ALCOOL (PYRIDYLCARBINOL)"
"C04AC03"	"INOSITOL NICOTINATE"	"INOSITOL NICOTINATE"
"C04AC07"	"CICLONICATE"	"CICLONICATE"
"C04AD"	"PURINE DERIVATIVES"	"DERIVES DE LA PURINE"
"C04AD01"	"PENTIFYLLINE"	"PENTIFYLLINE"
"C04AD02"	"XANTINOL NICOTINATE"	"XANTINOL NICOTINATE"
"C04AD03"	"PENTOXIFYLLINE"	"PENTOXIFYLLINE"
"C04AD04"	"ETOFYLLINE NICOTINATE"	"ETOFYLLINE NICOTINATE"
"C04AE"	"ERGOT ALKALOIDS"	"ALCALOÏDES DE L'ERGOT"
"C04AE01"	"ERGOLOID MESYLATES"	"ERGOLOÏDE MESYLATES"
"C04AE02"	"NICERGOLINE"	"NICERGOLINE"
"C04AE04"	"DIHYDROERGOCRISTINE"	"DIHYDROERGOCRISTINE"
"C04AE51"	"ERGOLOID MESYLATES, COMBINATIONS"	"ERGOLOÏDE MESYLATES, ASSOCIATION"
"C04AE54"	"DIHYDROERGOCRISTINE, COMBINATIONS"	"DIHYDROERGOCRISTINE EN ASSOCIATION"
"C04AF"	"ENZYMES"	"ENZYMES"
"C04AF01"	"KALLIDINOGENASE"	"KALLIDINOGENASE"
"C04AX"	"OTHER PERIPHERAL VASODILATORS"	"AUTRES VASODILATATEURS PERIPHERIQUES"
"C04AX01"	"CYCLANDELATE"	"CYCLANDELATE"
"C04AX02"	"PHENOXYBENZAMINE"	"PHENOXYBENZAMINE"
"C04AX07"	"VINCAMINE"	"VINCAMINE"
"C04AX10"	"MOXISYLYTE"	"MOXISYLYTE"
"C04AX11"	"BENCYCLANE"	"BENCYCLANE"
"C04AX13"	"PIRIBEDIL"	"PIRIBEDIL"
"C04AX17"	"VINBURNINE"	"VINBURNINE"
"C04AX19"	"SULCOTIDIL"	"SULCOTIDIL"
"C04AX20"	"BUFLOMEDIL"	"BUFLOMEDIL"
"C04AX21"	"NAFTIDROFURYL"	"NAFTIDROFURYL"
"C04AX23"	"BUTALAMINE"	"BUTALAMINE"
"C04AX24"	"VISNADINE"	"VISNADINE"
"C04AX26"	"CETIEDIL"	"CETIEDIL"
"C04AX27"	"CINEPAZIDE"	"CINEPAZIDE"
"C04AX28"	"IFENPRODIL"	"IFENPRODIL"
"C04AX30"	"AZAPETINE"	"AZAPETINE"
"C04AX32"	"FASUDIL"	"FASUDIL"
"C05"	"VASOPROTECTIVES"	"VASCULOPROTECTEURS"
"C05A"	"ANTIHEMORRHOIDALS FOR TOPICAL USE"	"ANTIHEMORROIDAIRES A USAGE TOPIQUE"
"C05AA"	"PRODUCTS CONTAINING CORTICOSTEROIDS"	"MEDICAMENTS CONTENANT DES CORTICOIDES"
"C05AA01"	"HYDROCORTISONE"	"HYDROCORTISONE"
"C05AA04"	"PREDNISOLONE"	"PREDNISOLONE"
"C05AA05"	"BETAMETHASONE"	"BETAMETHASONE"
"C05AA06"	"FLUOROMETHOLONE"	"FLUOROMETHOLONE"
"C05AA08"	"FLUOCORTOLONE"	"FLUOCORTOLONE"
"C05AA09"	"DEXAMETHASONE"	"DEXAMETHASONE"
"C05AA10"	"FLUOCINOLONE ACETONIDE"	"FLUOCINOLONE ACETONIDE"
"C05AA11"	"FLUOCINONIDE"	"FLUOCINONIDE"
"C05AB"	"PRODUCTS CONTAINING ANTIBIOTICS"	"MEDICAMENTS CONTENANT DES ANTIBIOTIQUES"
"C05AD"	"PRODUCTS CONTAINING LOCAL ANESTHETICS"	"MEDICAMENTS CONTENANT DES ANESTHESIQUES LOCAUX"
"C05AD01"	"LIDOCAINE"	"LIDOCAÏNE"
"C05AD02"	"TETRACAINE"	"TETRACAÏNE"
"C05AD03"	"BENZOCAINE"	"BENZOCAÏNE"
"C05AD04"	"CINCHOCAINE"	"CINCHOCAÏNE"
"C05AD05"	"PROCAINE"	"PROCAÏNE"
"C05AD06"	"OXETACAINE"	"OXETACAÏNE"
"C05AD07"	"PRAMOCAINE"	"PRAMOCAÏNE"
"C05AX"	"OTHER ANTIHEMORRHOIDALS FOR TOPICAL USE"	"AUTRES ANTIHEMORROIDAIRES A USAGE TOPIQUE"
"C05AX01"	"ALUMINIUM ACETOTARTRATE"	"ACETOTARTRATE D'ALUMINIUM"
"C05AX02"	"BISMUTH PREPARATIONS, COMBINATIONS"	"PREPARATIONS BISMUTHEES EN ASSOCIATION"
"C05AX03"	"OTHER PREPARATIONS, COMBINATIONS"	"AUTRES PREPARATIONS EN ASSOCIATION"
"C05AX04"	"ZINC PREPARATIONS"	"PREPARATIONS A BASE DE ZINC"
"C05AX05"	"TRIBENOSIDE"	"TRIBENOSIDE"
"C05B"	"ANTIVARICOSE THERAPY"	"THERAPEUTIQUE ANTIVARIQUEUSE"
"C05BA"	"HEPARINS OR HEPARINOIDS FOR TOPICAL USE"	"HEPARINES OU HEPARINOÏDES A USAGE TOPIQUE"
"C05BA01"	"ORGANO-HEPARINOID"	"HEPARINOÏDE"
"C05BA02"	"SODIUM APOLATE"	"SODIUM APOLATE"
"C05BA03"	"HEPARIN"	"HEPARINE"
"C05BA04"	"PENTOSAN POLYSULFATE SODIUM"	"PENTOSANE POLYESTER SULFURIQUE"
"C05BA51"	"HEPARINOID, COMBINATIONS"	"HEPARINOIDES EN ASSOCIATION"
"C05BA53"	"HEPARIN, COMBINATIONS"	"HEPARINE EN ASSOCIATION"
"C05BB"	"SCLEROSING AGENTS FOR LOCAL INJECTION"	"MEDICAMENTS SCLEROSANTS POUR INJECTION LOCALE"
"C05BB01"	"MONOETHANOLAMINE OLEATE"	"MONOETHANOLAMINE OLEATE"
"C05BB02"	"POLIDOCANOL"	"POLIDOCANOL"
"C05BB03"	"INVERT SUGAR"	"SUCRE INVERTI"
"C05BB04"	"SODIUM TETRADECYL SULFATE"	"SODIUM TETRADECYL SULFATE"
"C05BB05"	"PHENOL"	"PHENOL"
"C05BB56"	"GLUCOSE, COMBINATIONS"	"GLUCOSE, ASSOCIATIONS"
"C05BX"	"OTHER SCLEROSING AGENTS"	"AUTRES MEDICAMENTS SCLEROSANTS"
"C05BX01"	"CALCIUM DOBESILATE"	"CALCIUM DOBESILATE"
"C05BX51"	"CALCIUM DOBESILATE, COMBINATIONS"	"CALCIUM DOBESILATE EN ASSOCIATION"
"C05C"	"CAPILLARY STABILIZING AGENTS"	"MEDICAMENTS AGISSANT SUR LES CAPILLAIRES"
"C05CA"	"BIOFLAVONOIDS"	"BIOFLAVONOIDES"
"C05CA01"	"RUTOSIDE"	"RUTOSIDE"
"C05CA02"	"MONOXERUTIN"	"MONOXERUTINE"
"C05CA03"	"DIOSMIN"	"DIOSMINE"
"C05CA04"	"TROXERUTIN"	"TROXERUTINE"
"C05CA05"	"HIDROSMIN"	"HIDROSMINE"
"C05CA51"	"RUTOSIDE, COMBINATIONS"	"RUTOSIDE EN ASSOCIATION"
"C05CA53"	"DIOSMIN, COMBINATIONS"	"DIOSMINE EN ASSOCIATION"
"C05CA54"	"TROXERUTIN, COMBINATIONS"	"TROXERUTINE EN ASSOCIATION"
"C05CX"	"OTHER CAPILLARY STABILIZING AGENTS"	"AUTRES MEDICAMENTS AGISSANT SUR LES CAPILLAIRES"
"C05CX01"	"TRIBENOSIDE"	"TRIBENOSIDE"
"C07"	"BETA BLOCKING AGENTS"	"BETABLOQUANTS"
"C07A"	"BETA BLOCKING AGENTS"	"BETABLOQUANT"
"C07AA"	"BETA BLOCKING AGENTS, NON-SELECTIVE"	"BETABLOQUANTS, NON SELECTIFS"
"C07AA01"	"ALPRENOLOL"	"ALPRENOLOL"
"C07AA02"	"OXPRENOLOL"	"OXPRENOLOL"
"C07AA03"	"PINDOLOL"	"PINDOLOL"
"C07AA05"	"PROPRANOLOL"	"PROPRANOLOL"
"C07AA06"	"TIMOLOL"	"TIMOLOL"
"C07AA07"	"SOTALOL"	"SOTALOL"
"C07AA12"	"NADOLOL"	"NADOLOL"
"C07AA14"	"MEPINDOLOL"	"MEPINDOLOL"
"C07AA15"	"CARTEOLOL"	"CARTEOLOL"
"C07AA16"	"TERTATOLOL"	"TERTATOLOL"
"C07AA17"	"BOPINDOLOL"	"BOPINDOLOL"
"C07AA19"	"BUPRANOLOL"	"BUPRANOLOL"
"C07AA23"	"PENBUTOLOL"	"PENBUTOLOL"
"C07AA27"	"CLORANOLOL"	"CLORANOLOL"
"C07AA57"	"SOTALOL, COMBINATION PACKAGES"	"SOTALOL EN ASSOCIATION"
"C07AB"	"BETA BLOCKING AGENTS, SELECTIVE"	"BETABLOQUANTS, SELECTIFS"
"C07AB01"	"PRACTOLOL"	"PRACTOLOL"
"C07AB02"	"METOPROLOL"	"METOPROLOL"
"C07AB03"	"ATENOLOL"	"ATENOLOL"
"C07AB04"	"ACEBUTOLOL"	"ACEBUTOLOL"
"C07AB05"	"BETAXOLOL"	"BETAXOLOL"
"C07AB06"	"BEVANTOLOL"	"BEVANTOLOL"
"C07AB07"	"BISOPROLOL"	"BISOPROLOL"
"C07AB08"	"CELIPROLOL"	"CELIPROLOL"
"C07AB09"	"ESMOLOL"	"ESMOLOL"
"C07AB10"	"EPANOLOL"	"EPANOLOL"
"C07AB11"	"S-ATENOLOL"	"S-ATENOLOL"
"C07AB12"	"NEBIVOLOL"	"NEBIVOLOL"
"C07AB13"	"TALINOLOL"	"TALINOLOL"
"C07AB52"	"METOPROLOL, COMBINATION PACKAGES"	"METOPROLOL, CONDITIONNE EN ASSOCIATION"
"C07AG"	"ALPHA AND BETA BLOCKING AGENTS"	"ALPHA ET BETA BLOQUANTS"
"C07AG01"	"LABETALOL"	"LABETALOL"
"C07AG02"	"CARVEDILOL"	"CARVEDILOL"
"C07B"	"BETA BLOCKING AGENTS AND THIAZIDES"	"BETABLOQUANTS ET THIAZIDIQUES"
"C07BA"	"BETA BLOCKING AGENTS, NON-SELECTIVE, AND THIAZIDES"	"BETABLOQUANTS NON SELECTIFS ET THIAZIDIQUES"
"C07BA02"	"OXPRENOLOL AND THIAZIDES"	"OXPRENOLOL ET THIAZIDIQUES"
"C07BA05"	"PROPRANOLOL AND THIAZIDES"	"PROPRANOLOL ET THIAZIDIQUES"
"C07BA06"	"TIMOLOL AND THIAZIDES"	"TIMOLOL ET THIAZIDIQUES"
"C07BA07"	"SOTALOL AND THIAZIDES"	"SOTALOL ET THIAZIDIQUES"
"C07BA12"	"NADOLOL AND THIAZIDES"	"NADOLOL ET THIAZIDIQUES"
"C07BA68"	"METIPRANOLOL AND THIAZIDES, COMBINATIONS"	"METIPRANOLOL ET THIAZIDIQUES EN ASSOCIATION"
"C07BB"	"BETA BLOCKING AGENTS, SELECTIVE, AND THIAZIDES"	"BETABLOQUANTS SELECTIFS ET THIAZIDIQUES"
"C07BB02"	"METOPROLOL AND THIAZIDES"	"METOPROLOL ET THIAZIDIQUES"
"C07BB03"	"ATENOLOL AND THIAZIDES"	"ATENOLOL ET THIAZIDIQUES"
"C07BB04"	"ACEBUTOLOL AND THIAZIDES"	"ACEBUTOLOL ET THIAZIDIQUES"
"C07BB06"	"BEVANTOLOL AND THIAZIDES"	"BEVANTOLOL ET THIAZIDIQUES"
"C07BB07"	"BISOPROLOL AND THIAZIDES"	"BISOPROLOL ET THIAZIDIQUES"
"C07BB52"	"METOPROLOL AND THIAZIDES, COMBINATIONS"	"METOPROLOL ET THIAZIDIQUES EN ASSOCIATION"
"C07BG"	"ALPHA AND BETA BLOCKING AGENTS AND THIAZIDES"	"ALPHA ET BETA BLOQUANTS ET THIAZIDIQUES"
"C07BG01"	"LABETALOL AND THIAZIDES"	"LABETALOL ET THIAZIDIQUES"
"C07C"	"BETA BLOCKING AGENTS AND OTHER DIURETICS"	"BETABLOQUANTS ET AUTRES DIURETIQUES"
"C07CA"	"BETA BLOCKING AGENTS, NON-SELECTIVE, AND OTHER DIURETICS"	"BETABLOQUANTS NON SELECTIFS ET AUTRES DIURETIQUES"
"C07CA02"	"OXPRENOLOL AND OTHER DIURETICS"	"OXPRENOLOL ET AUTRES DIURETIQUES"
"C07CA03"	"PINDOLOL AND OTHER DIURETICS"	"PINDOLOL ET AUTRES DIURETIQUES"
"C07CA17"	"BOPINDOLOL AND OTHER DIURETICS"	"BOPINDOLOL ET AUTRES DIURETIQUES"
"C07CA23"	"PENBUTOLOL AND OTHER DIURETICS"	"PENBUTOLOL ET AUTRES DIURETIQUES"
"C07CB"	"BETA BLOCKING AGENTS, SELECTIVE, AND OTHER DIURETICS"	"BETABLOQUANTS SELECTIFS ET AUTRES DIURETIQUES"
"C07CB02"	"METOPROLOL AND OTHER DIURETICS"	"METOPROLOL ET AUTRES DIURETIQUES"
"C07CB03"	"ATENOLOL AND OTHER DIURETICS"	"ATENOLOL ET AUTRES DIURETIQUES"
"C07CB53"	"ATENOLOL AND OTHER DIURETICS, COMBINATIONS"	"ATENOLOL ET AUTRES DIURETIQUES EN ASSOCIATION"
"C07CG"	"ALPHA AND BETA BLOCKING AGENTS AND OTHER DIURETICS"	"ALPHA ET BETA BLOQUANTS ET AUTRES DIURETIQUES"
"C07CG01"	"LABETALOL AND OTHER DIURETICS"	"LABETALOL ET AUTRES DIURETIQUES"
"C07D"	"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS"	"BETABLOQUANTS, THIAZIDIQUES ET AUTRES DIURETIQUES"
"C07DA"	"BETA BLOCKING AGENTS, NON-SELECTIVE, THIAZIDES AND OTHER DIURETICS"	"BETABLOQUANTS NON SELECTIFS, THIAZIDIQUES ET AUTRES DIURETIQUES"
"C07DA06"	"TIMOLOL, THIAZIDES AND OTHER DIURETICS"	"TIMOLOL, THIAZIDIQUES ET AUTRES DIURETIQUES"
"C07DB"	"BETA BLOCKING AGENTS, SELECTIVE, THIAZIDES AND OTHER DIURETICS"	"BETABLOQUANTS SELECTIFS, THIAZIDIQUES ET AUTRES DIURETIQUES"
"C07DB01"	"ATENOLOL, THIAZIDES AND OTHER DIURETICS"	"ATENOLOL, THIAZIDIQUES ET AUTRES DIURETIQUES"
"C07E"	"BETA BLOCKING AGENTS AND VASODILATORS"	"BETABLOQUANTS ET VASODILATATEURS"
"C07EA"	"BETA BLOCKING AGENTS, NON-SELECTIVE, AND VASODILATORS"	"BETABLOQUANTS NON SELECTIFS ET VASODILATATEURS"
"C07EB"	"BETA BLOCKING AGENTS, SELECTIVE, AND VASODILATORS"	"BETABLOQUANTS SELECTIFS ET VASODILATATEURS"
"C07F"	"BETA BLOCKING AGENTS AND OTHER ANTIHYPERTENSIVES"	"BETABLOQUANTS ET AUTRES ANTIHYPERTENSEURS"
"C07FA"	"BETA BLOCKING AGENTS, NON-SELECTIVE, AND OTHER ANTIHYPERTENSIVES"	"BETABLOQUANTS NON SELECTIFS ET AUTRES ANTI-HYPERTENSEURS"
"C07FA05"	"PROPRANOLOL AND OTHER ANTIHYPERTENSIVES"	"PROPRANOLOL ET AUTRES ANTIHYPERTENSEURS"
"C07FB"	"BETA BLOCKING AGENTS, SELECTIVE, AND OTHER ANTIHYPERTENSIVES"	"BETABLOQUANTS SELECTIFS ET AUTRES ANTIHYPERTENSEURS"
"C07FB02"	"METOPROLOL AND OTHER ANTIHYPERTENSIVES"	"METOPROLOL ET AUTRES ANTIHYPERTENSEURS"
"C07FB03"	"ATENOLOL AND OTHER ANTIHYPERTENSIVES"	"ATENOLOL ET AUTRES ANTIHYPERTENSEURS"
"C08"	"CALCIUM CHANNEL BLOCKERS"	"INHIBITEURS CALCIQUES"
"C08C"	"SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS"	"INHIBITEURS CALCIQUES SELECTIFS A EFFETS VASCULAIRES PREDOMINANTS"
"C08CA"	"DIHYDROPYRIDINE DERIVATIVES"	"DERIVES DE LA DIHYDROPYRIDINE"
"C08CA01"	"AMLODIPINE"	"AMLODIPINE"
"C08CA02"	"FELODIPINE"	"FELODIPINE"
"C08CA03"	"ISRADIPINE"	"ISRADIPINE"
"C08CA04"	"NICARDIPINE"	"NICARDIPINE"
"C08CA05"	"NIFEDIPINE"	"NIFEDIPINE"
"C08CA06"	"NIMODIPINE"	"NIMODIPINE"
"C08CA07"	"NISOLDIPINE"	"NISOLPIDINE"
"C08CA08"	"NITRENDIPINE"	"NITRENDIPINE"
"C08CA09"	"LACIDIPINE"	"LACIDIPINE"
"C08CA10"	"NILVADIPINE"	"NILVADIPINE"
"C08CA11"	"MANIDIPINE"	"MANIDIPINE"
"C08CA12"	"BARNIDIPINE"	"BARNIDIPINE"
"C08CA13"	"LERCANIDIPINE"	"LERCANIDIPINE"
"C08CA14"	"CILNIPIDINE"	"CILNIPIDINE"
"C08CA15"	"BENIDIPINE"	"BENIDIPINE"
"C08CA55"	"NIFEDIPINE, COMBINATIONS"	"NIFEDIPINE EN ASSOCIATION"
"C08CX"	"OTHER SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS"	"AUTRES INHIBITEURS CALCIQUES SELECTIFS A EFFETS VASCULAIRES PREDOMINANT"
"C08CX01"	"MIBEFRADIL"	"MIBEFRADIL"
"C08D"	"SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS"	"INHIBITEURS CALCIQUES SELECTIFS A EFFETS CARDIAQUES DIRECTS"
"C08DA"	"PHENYLALKYLAMINE DERIVATIVES"	"DERIVES DE LA PHENYLALKYLAMINE"
"C08DA01"	"VERAPAMIL"	"VERAPAMIL"
"C08DA02"	"GALLOPAMIL"	"GALLOPAMIL"
"C08DA51"	"VERAPAMIL, COMBINATIONS"	"VERAPAMIL EN ASSOCIATION"
"C08DB"	"BENZOTHIAZEPINE DERIVATIVES"	"DERIVES DE LA BENZOTHIAZEPINE"
"C08DB01"	"DILTIAZEM"	"DILTIAZEM"
"C08E"	"NON-SELECTIVE CALCIUM CHANNEL BLOCKERS"	"INHIBITEURS CALCIQUES NON SELECTIFS"
